flowrate_cfs,intensity_inhr,tc_minutes,capture_fraction
0.0,0.0,1,0.0
,0.0,1,0.0
0.005,0.01,1,0.1711
0.01,0.02,1,0.2874
0.015,0.0301,1,0.3821
0.02,0.0401,1,0.4585
0.025,0.0501,1,0.5216
0.03,0.0601,1,0.5781
0.035,0.0701,1,0.6246
0.04,0.0801,1,0.6678
0.045,0.0902,1,0.701
0.05,0.1002,1,0.7309
0.055,0.1102,1,0.7608
0.06,0.1202,1,0.7841
0.08,0.1603,1,0.8538
0.1,0.2003,1,0.9003
0.12,0.2404,1,0.9269
0.14,0.2805,1,0.9468
0.16,0.3206,1,0.9601
0.18,0.3606,1,0.9701
0.2,0.4007,1,0.9767
0.22,0.4408,1,0.9801
0.24,0.4808,1,0.9834
0.26,0.5209,1,0.9867
0.28,0.561,1,0.99
0.3,0.601,1,0.99
0.32,0.6411,1,0.9934
0.34,0.6812,1,0.9934
0.36,0.7213,1,0.9934
0.38,0.7613,1,0.9967
0.4,0.8014,1,0.9967
0.45,0.9016,1,0.9967
0.5,1.0017,1,0.9967
0.55,1.1019,1,0.9967
0.6,1.2021,1,0.9967
0.65,1.3023,1,0.9967
0.7,1.4024,1,0.9967
0.75,1.5026,1,0.9967
0.8,1.6028,1,1.0
0.85,1.703,1,1.0
0.9,1.8031,1,1.0
0.95,1.9033,1,1.0
1.0,2.0035,1,1.0
0.0,0.0,5,0.0
,0.0,5,0.0
0.005,0.01,5,0.1823
0.01,0.02,5,0.3037
0.015,0.0301,5,0.398
0.02,0.0401,5,0.4749
0.025,0.0501,5,0.5418
0.03,0.0601,5,0.5953
0.035,0.0701,5,0.6421
0.04,0.0801,5,0.6823
0.045,0.0902,5,0.7157
0.05,0.1002,5,0.7458
0.055,0.1102,5,0.7726
0.06,0.1202,5,0.796
0.08,0.1603,5,0.8629
0.1,0.2003,5,0.9064
0.12,0.2404,5,0.9331
0.14,0.2805,5,0.9498
0.16,0.3206,5,0.9632
0.18,0.3606,5,0.9699
0.2,0.4007,5,0.9766
0.22,0.4408,5,0.9799
0.24,0.4808,5,0.9866
0.26,0.5209,5,0.9866
0.28,0.561,5,0.99
0.3,0.601,5,0.99
0.32,0.6411,5,0.9933
0.34,0.6812,5,0.9933
0.36,0.7213,5,0.9967
0.38,0.7613,5,0.9967
0.4,0.8014,5,0.9967
0.45,0.9016,5,0.9967
0.5,1.0017,5,0.9967
0.55,1.1019,5,0.9967
0.6,1.2021,5,1.0
0.65,1.3023,5,1.0
0.7,1.4024,5,1.0
0.75,1.5026,5,1.0
0.8,1.6028,5,1.0
0.85,1.703,5,1.0
0.9,1.8031,5,1.0
0.95,1.9033,5,1.0
1.0,2.0035,5,1.0
0.0,0.0,10,0.0
,0.0,10,0.0
0.005,0.01,10,0.1923
0.01,0.02,10,0.3185
0.015,0.0301,10,0.4175
0.02,0.0401,10,0.4949
0.025,0.0501,10,0.5589
0.03,0.0601,10,0.6128
0.035,0.0701,10,0.6599
0.04,0.0801,10,0.697
0.045,0.0902,10,0.7306
0.05,0.1002,10,0.7609
0.055,0.1102,10,0.7845
0.06,0.1202,10,0.8081
0.08,0.1603,10,0.8721
0.1,0.2003,10,0.9125
0.12,0.2404,10,0.9394
0.14,0.2805,10,0.9562
0.16,0.3206,10,0.9663
0.18,0.3606,10,0.9764
0.2,0.4007,10,0.9798
0.22,0.4408,10,0.9832
0.24,0.4808,10,0.9865
0.26,0.5209,10,0.9899
0.28,0.561,10,0.9933
0.3,0.601,10,0.9933
0.32,0.6411,10,0.9966
0.34,0.6812,10,0.9966
0.36,0.7213,10,0.9966
0.38,0.7613,10,0.9966
0.4,0.8014,10,0.9966
0.45,0.9016,10,1.0
0.5,1.0017,10,1.0
0.55,1.1019,10,1.0
0.6,1.2021,10,1.0
0.65,1.3023,10,1.0
0.7,1.4024,10,1.0
0.75,1.5026,10,1.0
0.8,1.6028,10,1.0
0.85,1.703,10,1.0
0.9,1.8031,10,1.0
0.95,1.9033,10,1.0
1.0,2.0035,10,1.0
0.0,0.0,20,0.0
,0.0,20,0.0
0.005,0.01,20,0.2075
0.01,0.02,20,0.339
0.015,0.0301,20,0.4407
0.02,0.0401,20,0.522
0.025,0.0501,20,0.5864
0.03,0.0601,20,0.6373
0.035,0.0701,20,0.6814
0.04,0.0801,20,0.7186
0.045,0.0902,20,0.7525
0.05,0.1002,20,0.7797
0.055,0.1102,20,0.8034
0.06,0.1202,20,0.8237
0.08,0.1603,20,0.8847
0.1,0.2003,20,0.922
0.12,0.2404,20,0.9458
0.14,0.2805,20,0.9593
0.16,0.3206,20,0.9695
0.18,0.3606,20,0.9763
0.2,0.4007,20,0.9831
0.22,0.4408,20,0.9864
0.24,0.4808,20,0.9898
0.26,0.5209,20,0.9898
0.28,0.561,20,0.9932
0.3,0.601,20,0.9932
0.32,0.6411,20,0.9966
0.34,0.6812,20,0.9966
0.36,0.7213,20,0.9966
0.38,0.7613,20,0.9966
0.4,0.8014,20,0.9966
0.45,0.9016,20,1.0
0.5,1.0017,20,1.0
0.55,1.1019,20,1.0
0.6,1.2021,20,1.0
0.65,1.3023,20,1.0
0.7,1.4024,20,1.0
0.75,1.5026,20,1.0
0.8,1.6028,20,1.0
0.85,1.703,20,1.0
0.9,1.8031,20,1.0
0.95,1.9033,20,1.0
1.0,2.0035,20,1.0
0.0,0.0,30,0.0
,0.0,30,0.0
0.005,0.01,30,0.2195
0.01,0.02,30,0.3584
0.015,0.0301,30,0.4608
0.02,0.0401,30,0.5427
0.025,0.0501,30,0.6075
0.03,0.0601,30,0.6587
0.035,0.0701,30,0.7031
0.04,0.0801,30,0.7372
0.045,0.0902,30,0.7679
0.05,0.1002,30,0.7952
0.055,0.1102,30,0.8157
0.06,0.1202,30,0.8362
0.08,0.1603,30,0.8942
0.1,0.2003,30,0.9283
0.12,0.2404,30,0.9488
0.14,0.2805,30,0.9625
0.16,0.3206,30,0.9727
0.18,0.3606,30,0.9795
0.2,0.4007,30,0.9829
0.22,0.4408,30,0.9863
0.24,0.4808,30,0.9898
0.26,0.5209,30,0.9932
0.28,0.561,30,0.9932
0.3,0.601,30,0.9966
0.32,0.6411,30,0.9966
0.34,0.6812,30,0.9966
0.36,0.7213,30,0.9966
0.38,0.7613,30,1.0
0.4,0.8014,30,1.0
0.45,0.9016,30,1.0
0.5,1.0017,30,1.0
0.55,1.1019,30,1.0
0.6,1.2021,30,1.0
0.65,1.3023,30,1.0
0.7,1.4024,30,1.0
0.75,1.5026,30,1.0
0.8,1.6028,30,1.0
0.85,1.703,30,1.0
0.9,1.8031,30,1.0
0.95,1.9033,30,1.0
1.0,2.0035,30,1.0
0.0,0.0,60,0.0
,0.0,60,0.0
0.005,0.01,60,0.2464
0.01,0.02,60,0.3979
0.015,0.0301,60,0.5052
0.02,0.0401,60,0.5882
0.025,0.0501,60,0.6505
0.03,0.0601,60,0.699
0.035,0.0701,60,0.7405
0.04,0.0801,60,0.7751
0.045,0.0902,60,0.8028
0.05,0.1002,60,0.827
0.055,0.1102,60,0.8443
0.06,0.1202,60,0.8616
0.08,0.1603,60,0.9135
0.1,0.2003,60,0.9412
0.12,0.2404,60,0.9585
0.14,0.2805,60,0.9723
0.16,0.3206,60,0.9792
0.18,0.3606,60,0.9827
0.2,0.4007,60,0.9896
0.22,0.4408,60,0.9896
0.24,0.4808,60,0.9931
0.26,0.5209,60,0.9931
0.28,0.561,60,0.9965
0.3,0.601,60,0.9965
0.32,0.6411,60,0.9965
0.34,0.6812,60,0.9965
0.36,0.7213,60,1.0
0.38,0.7613,60,1.0
0.4,0.8014,60,1.0
0.45,0.9016,60,1.0
0.5,1.0017,60,1.0
0.55,1.1019,60,1.0
0.6,1.2021,60,1.0
0.65,1.3023,60,1.0
0.7,1.4024,60,1.0
0.75,1.5026,60,1.0
0.8,1.6028,60,1.0
0.85,1.703,60,1.0
0.9,1.8031,60,1.0
0.95,1.9033,60,1.0
1.0,2.0035,60,1.0
0.0,0.0,120,0.0
,0.0,120,0.0
0.005,0.01,120,0.2813
0.01,0.02,120,0.4472
0.015,0.0301,120,0.5599
0.02,0.0401,120,0.6408
0.025,0.0501,120,0.7007
0.03,0.0601,120,0.7465
0.035,0.0701,120,0.7852
0.04,0.0801,120,0.8134
0.045,0.0902,120,0.838
0.05,0.1002,120,0.8592
0.055,0.1102,120,0.8768
0.06,0.1202,120,0.8908
0.08,0.1603,120,0.9296
0.1,0.2003,120,0.9542
0.12,0.2404,120,0.9683
0.14,0.2805,120,0.9754
0.16,0.3206,120,0.9824
0.18,0.3606,120,0.9859
0.2,0.4007,120,0.9894
0.22,0.4408,120,0.993
0.24,0.4808,120,0.993
0.26,0.5209,120,0.9965
0.28,0.561,120,0.9965
0.3,0.601,120,0.9965
0.32,0.6411,120,0.9965
0.34,0.6812,120,0.9965
0.36,0.7213,120,0.9965
0.38,0.7613,120,0.9965
0.4,0.8014,120,0.9965
0.45,0.9016,120,0.9965
0.5,1.0017,120,1.0
0.55,1.1019,120,1.0
0.6,1.2021,120,1.0
0.65,1.3023,120,1.0
0.7,1.4024,120,1.0
0.75,1.5026,120,1.0
0.8,1.6028,120,1.0
0.85,1.703,120,1.0
0.9,1.8031,120,1.0
0.95,1.9033,120,1.0
1.0,2.0035,120,1.0
