flowrate_cfs,intensity_inhr,tc_minutes,capture_fraction
0.0,0.0,1,0.0
,0.0,1,0.0
0.005,0.011,1,0.1958
0.01,0.022,1,0.3253
0.015,0.0331,1,0.4291
0.02,0.0441,1,0.5096
0.025,0.0551,1,0.5824
0.03,0.0661,1,0.6398
0.035,0.0771,1,0.6897
0.04,0.0882,1,0.7318
0.045,0.0992,1,0.7663
0.05,0.1102,1,0.7969
0.055,0.1212,1,0.8238
0.06,0.1322,1,0.8467
0.08,0.1763,1,0.908
0.1,0.2204,1,0.9425
0.12,0.2645,1,0.9655
0.14,0.3085,1,0.977
0.16,0.3526,1,0.9847
0.18,0.3967,1,0.9885
0.2,0.4408,1,0.9923
0.22,0.4848,1,0.9962
0.24,0.5289,1,0.9962
0.26,0.573,1,0.9962
0.28,0.6171,1,0.9962
0.3,0.6612,1,1.0
0.32,0.7052,1,1.0
0.34,0.7493,1,1.0
0.36,0.7934,1,1.0
0.38,0.8375,1,1.0
0.4,0.8815,1,1.0
0.45,0.9917,1,1.0
0.5,1.1019,1,1.0
0.55,1.2121,1,1.0
0.6,1.3223,1,1.0
0.65,1.4325,1,1.0
0.7,1.5427,1,1.0
0.75,1.6529,1,1.0
0.8,1.7631,1,1.0
0.85,1.8733,1,1.0
0.9,1.9835,1,1.0
0.95,2.0937,1,1.0
1.0,2.2038,1,1.0
0.0,0.0,5,0.0
,0.0,5,0.0
0.005,0.011,5,0.2085
0.01,0.022,5,0.3436
0.015,0.0331,5,0.4479
0.02,0.0441,5,0.5328
0.025,0.0551,5,0.6023
0.03,0.0661,5,0.6602
0.035,0.0771,5,0.7066
0.04,0.0882,5,0.749
0.045,0.0992,5,0.7838
0.05,0.1102,5,0.8108
0.055,0.1212,5,0.8378
0.06,0.1322,5,0.8571
0.08,0.1763,5,0.9151
0.1,0.2204,5,0.9498
0.12,0.2645,5,0.9691
0.14,0.3085,5,0.9807
0.16,0.3526,5,0.9846
0.18,0.3967,5,0.9923
0.2,0.4408,5,0.9923
0.22,0.4848,5,0.9961
0.24,0.5289,5,0.9961
0.26,0.573,5,0.9961
0.28,0.6171,5,1.0
0.3,0.6612,5,1.0
0.32,0.7052,5,1.0
0.34,0.7493,5,1.0
0.36,0.7934,5,1.0
0.38,0.8375,5,1.0
0.4,0.8815,5,1.0
0.45,0.9917,5,1.0
0.5,1.1019,5,1.0
0.55,1.2121,5,1.0
0.6,1.3223,5,1.0
0.65,1.4325,5,1.0
0.7,1.5427,5,1.0
0.75,1.6529,5,1.0
0.8,1.7631,5,1.0
0.85,1.8733,5,1.0
0.9,1.9835,5,1.0
0.95,2.0937,5,1.0
1.0,2.2038,5,1.0
0.0,0.0,10,0.0
,0.0,10,0.0
0.005,0.011,10,0.219
0.01,0.022,10,0.3593
0.015,0.0331,10,0.4651
0.02,0.0441,10,0.5504
0.025,0.0551,10,0.6202
0.03,0.0661,10,0.6744
0.035,0.0771,10,0.7209
0.04,0.0882,10,0.7597
0.045,0.0992,10,0.7946
0.05,0.1102,10,0.8217
0.055,0.1212,10,0.845
0.06,0.1322,10,0.8643
0.08,0.1763,10,0.9186
0.1,0.2204,10,0.9496
0.12,0.2645,10,0.969
0.14,0.3085,10,0.9806
0.16,0.3526,10,0.9845
0.18,0.3967,10,0.9884
0.2,0.4408,10,0.9922
0.22,0.4848,10,0.9961
0.24,0.5289,10,0.9961
0.26,0.573,10,0.9961
0.28,0.6171,10,0.9961
0.3,0.6612,10,0.9961
0.32,0.7052,10,0.9961
0.34,0.7493,10,0.9961
0.36,0.7934,10,0.9961
0.38,0.8375,10,0.9961
0.4,0.8815,10,1.0
0.45,0.9917,10,1.0
0.5,1.1019,10,1.0
0.55,1.2121,10,1.0
0.6,1.3223,10,1.0
0.65,1.4325,10,1.0
0.7,1.5427,10,1.0
0.75,1.6529,10,1.0
0.8,1.7631,10,1.0
0.85,1.8733,10,1.0
0.9,1.9835,10,1.0
0.95,2.0937,10,1.0
1.0,2.2038,10,1.0
0.0,0.0,20,0.0
,0.0,20,0.0
0.005,0.011,20,0.2369
0.01,0.022,20,0.3851
0.015,0.0331,20,0.4941
0.02,0.0441,20,0.5804
0.025,0.0551,20,0.651
0.03,0.0661,20,0.7059
0.035,0.0771,20,0.749
0.04,0.0882,20,0.7882
0.045,0.0992,20,0.8196
0.05,0.1102,20,0.8431
0.055,0.1212,20,0.8667
0.06,0.1322,20,0.8824
0.08,0.1763,20,0.9333
0.1,0.2204,20,0.9608
0.12,0.2645,20,0.9765
0.14,0.3085,20,0.9843
0.16,0.3526,20,0.9922
0.18,0.3967,20,0.9961
0.2,0.4408,20,0.9961
0.22,0.4848,20,0.9961
0.24,0.5289,20,1.0
0.26,0.573,20,1.0
0.28,0.6171,20,1.0
0.3,0.6612,20,1.0
0.32,0.7052,20,1.0
0.34,0.7493,20,1.0
0.36,0.7934,20,1.0
0.38,0.8375,20,1.0
0.4,0.8815,20,1.0
0.45,0.9917,20,1.0
0.5,1.1019,20,1.0
0.55,1.2121,20,1.0
0.6,1.3223,20,1.0
0.65,1.4325,20,1.0
0.7,1.5427,20,1.0
0.75,1.6529,20,1.0
0.8,1.7631,20,1.0
0.85,1.8733,20,1.0
0.9,1.9835,20,1.0
0.95,2.0937,20,1.0
1.0,2.2038,20,1.0
0.0,0.0,30,0.0
,0.0,30,0.0
0.005,0.011,30,0.2496
0.01,0.022,30,0.4016
0.015,0.0331,30,0.5157
0.02,0.0441,30,0.6024
0.025,0.0551,30,0.6693
0.03,0.0661,30,0.7244
0.035,0.0771,30,0.7677
0.04,0.0882,30,0.8031
0.045,0.0992,30,0.8307
0.05,0.1102,30,0.8543
0.055,0.1212,30,0.878
0.06,0.1322,30,0.8937
0.08,0.1763,30,0.937
0.1,0.2204,30,0.9646
0.12,0.2645,30,0.9764
0.14,0.3085,30,0.9843
0.16,0.3526,30,0.9882
0.18,0.3967,30,0.9921
0.2,0.4408,30,0.9961
0.22,0.4848,30,0.9961
0.24,0.5289,30,0.9961
0.26,0.573,30,0.9961
0.28,0.6171,30,0.9961
0.3,0.6612,30,0.9961
0.32,0.7052,30,0.9961
0.34,0.7493,30,0.9961
0.36,0.7934,30,0.9961
0.38,0.8375,30,0.9961
0.4,0.8815,30,0.9961
0.45,0.9917,30,0.9961
0.5,1.1019,30,1.0
0.55,1.2121,30,1.0
0.6,1.3223,30,1.0
0.65,1.4325,30,1.0
0.7,1.5427,30,1.0
0.75,1.6529,30,1.0
0.8,1.7631,30,1.0
0.85,1.8733,30,1.0
0.9,1.9835,30,1.0
0.95,2.0937,30,1.0
1.0,2.2038,30,1.0
0.0,0.0,60,0.0
,0.0,60,0.0
0.005,0.011,60,0.2807
0.01,0.022,60,0.4498
0.015,0.0331,60,0.5663
0.02,0.0441,60,0.6506
0.025,0.0551,60,0.7189
0.03,0.0661,60,0.7671
0.035,0.0771,60,0.8072
0.04,0.0882,60,0.8394
0.045,0.0992,60,0.8675
0.05,0.1102,60,0.8876
0.055,0.1212,60,0.9036
0.06,0.1322,60,0.9197
0.08,0.1763,60,0.9558
0.1,0.2204,60,0.9759
0.12,0.2645,60,0.988
0.14,0.3085,60,0.992
0.16,0.3526,60,0.996
0.18,0.3967,60,1.0
0.2,0.4408,60,1.0
0.22,0.4848,60,1.0
0.24,0.5289,60,1.0
0.26,0.573,60,1.0
0.28,0.6171,60,1.0
0.3,0.6612,60,1.0
0.32,0.7052,60,1.0
0.34,0.7493,60,1.0
0.36,0.7934,60,1.0
0.38,0.8375,60,1.0
0.4,0.8815,60,1.0
0.45,0.9917,60,1.0
0.5,1.1019,60,1.0
0.55,1.2121,60,1.0
0.6,1.3223,60,1.0
0.65,1.4325,60,1.0
0.7,1.5427,60,1.0
0.75,1.6529,60,1.0
0.8,1.7631,60,1.0
0.85,1.8733,60,1.0
0.9,1.9835,60,1.0
0.95,2.0937,60,1.0
1.0,2.2038,60,1.0
0.0,0.0,120,0.0
,0.0,120,0.0
0.005,0.011,120,0.3205
0.01,0.022,120,0.5041
0.015,0.0331,120,0.623
0.02,0.0441,120,0.709
0.025,0.0551,120,0.7705
0.03,0.0661,120,0.8156
0.035,0.0771,120,0.8525
0.04,0.0882,120,0.877
0.045,0.0992,120,0.9016
0.05,0.1102,120,0.918
0.055,0.1212,120,0.9303
0.06,0.1322,120,0.9426
0.08,0.1763,120,0.9713
0.1,0.2204,120,0.9836
0.12,0.2645,120,0.9918
0.14,0.3085,120,0.9959
0.16,0.3526,120,0.9959
0.18,0.3967,120,0.9959
0.2,0.4408,120,1.0
0.22,0.4848,120,1.0
0.24,0.5289,120,1.0
0.26,0.573,120,1.0
0.28,0.6171,120,1.0
0.3,0.6612,120,1.0
0.32,0.7052,120,1.0
0.34,0.7493,120,1.0
0.36,0.7934,120,1.0
0.38,0.8375,120,1.0
0.4,0.8815,120,1.0
0.45,0.9917,120,1.0
0.5,1.1019,120,1.0
0.55,1.2121,120,1.0
0.6,1.3223,120,1.0
0.65,1.4325,120,1.0
0.7,1.5427,120,1.0
0.75,1.6529,120,1.0
0.8,1.7631,120,1.0
0.85,1.8733,120,1.0
0.9,1.9835,120,1.0
0.95,2.0937,120,1.0
1.0,2.2038,120,1.0
