,BASINNAME,SUBBASIN,pct_bd
102,LOWER PUYALLUP,LP_01,0.014522718318809042
103,NORTH TACOMA,NT_07,0.0039181304744183385
104,LEACH CREEK,LC_04,0.01440660756326023
105,LEACH CREEK,LC_03,0.030963494924278613
106,LEACH CREEK,LC_04,0.03166580983387862
107,FLETT CREEK,FL_07,0.027838756002660114
108,FLETT CREEK,FL_04,0.0655565494713951
109,FLETT CREEK,FL_05,0.0007594657165753883
110,FLETT CREEK,FL_07,0.001645840604923842
111,FLETT CREEK,FL_04,0.013050794195623263
112,FLETT CREEK,FL_07,0.010196173409361771
113,NORTHEAST TACOMA,NE_05,0.22520963852699236
114,LEACH CREEK,LC_02,0.03921976353264573
115,LEACH CREEK,LC_03,0.013796329189919835
116,LEACH CREEK,LC_02,0.00034692830333234506
117,LEACH CREEK,LC_03,0.047033536127892295
118,FLETT CREEK,FL_04,0.039899067014835594
119,FOSS WATERWAY,FS_11,0.002796657398280307
120,FOSS WATERWAY,FS_11,0.004988381323492173
121,FOSS WATERWAY,FS_11,0.0013103538843854995
122,LOWER PUYALLUP,LP_04,0.002288614610171
123,FOSS WATERWAY,FS_11,0.0041410022587296804
124,FOSS WATERWAY,FS_11,0.008854489087230492
125,FOSS WATERWAY,FS_10,0.015261759313556639
126,FOSS WATERWAY,FS_11,0.002747106304117927
127,FOSS WATERWAY,FS_11,0.0005617400527626312
128,FLETT CREEK,FL_09,0.0015154523812196208
129,FOSS WATERWAY,FS_11,0.00222828739126936
130,NORTH TACOMA,NT_06,0.0721724860373368
131,NORTH TACOMA,NT_05,0.0001988326820291774
132,FLETT CREEK,FL_02,0.010893970518499529
133,FLETT CREEK,FL_02,0.010267835400859567
134,FLETT CREEK,FL_02,0.06986427568191654
135,FLETT CREEK,FL_01,0.013401781152179673
136,FLETT CREEK,FL_02,0.009227627507316576
137,FLETT CREEK,FL_01,0.000697564720484579
138,FLETT CREEK,FL_02,0.005218510373488994
139,JOES CREEK,JC_02,0.0467683047090749
140,JOES CREEK,JC_02,0.1838949236707135
141,JOES CREEK,JC_01,0.02161117007290123
142,FOSS WATERWAY,FS_08,0.03256220845573991
143,FOSS WATERWAY,FS_09,0.005047463938309916
144,TIDEFLATS,TF_03,0.0007980732088225558
145,LEACH CREEK,LC_05,0.01583234399219549
146,LOWER PUYALLUP,LP_06,0.027190365570191423
147,LOWER PUYALLUP,LP_05,0.0017177737870961638
148,LOWER PUYALLUP,LP_06,0.02361001521178118
149,JOES CREEK,JC_01,0.01971426461166146
150,JOES CREEK,JC_01,5.401306536995731e-06
151,FLETT CREEK,FL_09,0.0020258842139979144
152,FLETT CREEK,FL_09,0.0027929518553031496
153,FLETT CREEK,FL_09,0.006181833713992478
154,FLETT CREEK,FL_09,0.002447418713066156
155,FLETT CREEK,FL_09,0.00720732222791691
156,FLETT CREEK,FL_09,0.0018598554593879922
157,LEACH CREEK,LC_03,0.12782189871925573
158,FLETT CREEK,FL_01,0.010064350056092507
159,LOWER PUYALLUP,LP_05,0.005464824044428878
160,FLETT CREEK,FL_08,0.023345573736748726
161,FLETT CREEK,FL_01,0.03712010085158331
162,FLETT CREEK,FL_10,0.01529135956173534
