SUBBASIN,Airport Compatibility Residential,Crossroads Mixed-Use Center,Downtown Regional Growth Center,General Commercial,Heavy Industrial,Light Industrial,Low-Scale Residential,Major Institutional Campus,Mid-Scale Residential,Multi-Family (High Density),Neighborhood Commercial,Neighborhood Mixed-Use Center,Parks and Open Space,Shoreline,Tacoma Mall Regional Growth Center
NE_06,,,,,0.849383414318144,,,,,,,,,0.15061658568185585,
NT_01,,,,,,,,,,,,,0.8740748058034801,0.12592519419651996,
NT_02,,,,0.00030688889896903534,,,0.7259167198623415,,0.14360001231123537,0.015030162347674705,0.02187116486718334,,0.0599989843610393,0.03327606735155669,
NT_03,,,,,,,0.7378333641496494,,0.037526709098091034,,0.013945121541102565,,0.10768918311699407,0.1030056220941629,
NT_04,,,,,,,0.26922772596725714,,,,,,0.5693628027187829,0.16140947131396005,
NT_05,,,,0.0015794388476915665,,,0.7969223247124544,0.02480707508156742,0.06857205201411379,,0.017342665126472596,0.028920446506125044,0.0600711508658968,0.0017848468456784913,
NT_06,,,,,,,0.6865565371786088,,,,,,0.1551529186713371,0.15829054415005422,
NT_07,,,,0.003438759123881222,,,0.6511780991106572,0.05862792565243978,0.12905424725021739,,0.024399874553557875,0.07513045792501177,0.053429237401987115,0.004741398982247634,
NT_08,,,,,,,0.7412491175777088,,0.03724034544212712,0.010107042990112251,0.08027445571831038,,0.0675285320009011,0.06360050627084021,
NT_09,,,0.032840961926484565,,,,0.607234849582489,,0.11953336150249431,,0.01739824313802184,,0.17576792851451623,0.04722465533599406,
NT_10,,,0.25053680251988664,,,,0.16387734314045713,0.208366086733749,0.07137070136121922,0.025893793680312974,0.05940644467926273,0.014443982817427944,0.16556785708867996,0.04053698797900449,
NT_11,,,0.7170129241102767,,,,,1.9814907712640897e-07,,0.0038559520004467487,,,0.16382640659356923,0.11530451914663016,
TF_01,,,,,0.6949745275749217,,,,,,,,,0.30502547242507827,
TF_02,,,,,0.8653842235536117,,,,,,,,,0.13461577644638842,
TF_03,,,,,0.8603837522901793,0.0034716853615755928,,,,,,,0.015179438399819042,0.12096512394842615,
TF_04,,,,,0.9536337428748546,,,,,,,,,0.04636625712514543,
TF_05,,,,,0.8590657197107404,,,,,,,,0.07296816176909712,0.06796611852016243,
TF_06,,,,,0.848769038582426,,,,,,,,,0.1512309614175739,
WS_01,,0.031092099882609223,,,,,0.3003430597539157,,0.048392834716925875,,,,0.5191192065783389,0.10105279906821045,
WS_02,,,,,,,0.721843148599506,,0.0013762507102943148,,,,0.18935102840570234,0.08742957228449726,
WS_03,,0.0206545475522072,,0.0004151928781509993,,,0.6203211158392449,0.00034103815008922316,0.11713873011446398,,0.0007915159574248013,0.08170547702431673,0.1172851481543165,0.04134723432978559,
WS_04,,0.002798810993920608,,0.003251751428543973,,,0.6827308589969854,,0.14073628685522702,,0.0019889770887935995,,0.09255439769759669,0.07593891693893272,
