DDT_hr,Vol_cf,Max_Inflow_cfs,Max_Depth_ft,Max_Storage_Vol_cf,Treated_mgal,Total_mgal,Capture_Efficiency_%,Flow_Balance_Error_%,design_storm_volume_cuft,vol_cuft,size_fraction,ddt_hr,capture_fraction
,,,,,,,,,,0.0,0.0,1,0.0
1.0,1000.0,17.77,1.06,1058.0,417.738,937.279,44.56922645231569,0.0,60733.530000000006,1000.0,0.016465369294358486,1,0.4456922645231569
1.0,2000.0,17.77,1.06,2115.0,601.443,937.279,64.16904678329504,0.0,60733.530000000006,2000.0,0.03293073858871697,1,0.6416904678329505
1.0,3000.0,17.77,1.06,3169.0,710.352,937.283,75.7884224935265,-0.0,60733.530000000006,3000.0,0.049396107883075455,1,0.757884224935265
1.0,4000.0,17.77,1.06,4222.0,779.961,937.284,83.21501273893506,-0.0,60733.530000000006,4000.0,0.06586147717743394,1,0.8321501273893506
1.0,5000.0,17.77,1.05,5273.0,825.545,937.284,88.07842660282262,-0.0,60733.530000000006,5000.0,0.08232684647179242,1,0.8807842660282261
1.0,6000.0,17.77,1.05,6322.0,856.349,937.284,91.36494381638865,-0.0,60733.530000000006,6000.0,0.09879221576615091,1,0.9136494381638864
1.0,7000.0,17.77,1.05,7369.0,877.692,937.284,93.64205512950184,-0.0,60733.530000000006,7000.0,0.1152575850605094,1,0.9364205512950184
1.0,8000.0,17.77,1.05,8414.0,892.465,937.284,95.21820494108508,-0.0,60733.530000000006,8000.0,0.1317229543548679,1,0.9521820494108507
1.0,9000.0,17.77,1.05,9457.0,903.191,937.284,96.3625752706757,-0.0,60733.530000000006,9000.0,0.14818832364922638,1,0.9636257527067571
1.0,10000.0,17.77,1.05,10499.0,911.143,937.284,97.2109840773981,-0.0,60733.530000000006,10000.0,0.16465369294358484,1,0.972109840773981
1.0,12500.0,17.77,1.05,13094.0,923.224,937.284,98.49992104847624,-0.0,60733.530000000006,12500.0,0.20581711617948106,1,0.9849992104847624
1.0,15000.0,17.77,1.05,15678.0,929.114,937.284,99.1283325011416,-0.0,60733.530000000006,15000.0,0.2469805394153773,1,0.991283325011416
1.0,17500.0,17.77,1.04,18249.0,931.984,937.284,99.43453638384952,-0.0,60733.530000000006,17500.0,0.2881439626512735,1,0.9943453638384951
1.0,20000.0,17.77,1.04,20809.0,933.791,937.284,99.62732746958233,-0.0,60733.530000000006,20000.0,0.3293073858871697,1,0.9962732746958233
1.0,22500.0,17.77,1.04,23358.0,934.977,937.284,99.75386329010205,-0.0,60733.530000000006,22500.0,0.3704708091230659,1,0.9975386329010205
1.0,25000.0,17.77,1.04,25894.0,935.961,937.284,99.85884747845904,-0.0,60733.530000000006,25000.0,0.4116342323589621,1,0.9985884747845905
1.0,27500.0,17.77,1.03,28419.0,936.522,937.284,99.91870126877234,-0.0,60733.530000000006,27500.0,0.45279765559485835,1,0.9991870126877234
1.0,30000.0,17.77,1.03,30854.0,936.87,937.284,99.95582982319128,-0.0,60733.530000000006,30000.0,0.4939610788307546,1,0.9995582982319128
1.0,32500.0,17.77,1.02,33170.0,937.084,937.284,99.97866175033394,-0.0,60733.530000000006,32500.0,0.5351245020666507,1,0.9997866175033394
1.0,35000.0,17.77,1.01,35333.0,937.238,937.284,99.9950922025768,-0.0,60733.530000000006,35000.0,0.576287925302547,1,0.999950922025768
1.0,37500.0,17.77,0.86,32376.0,937.284,937.284,100.0,-0.0,60733.530000000006,37500.0,0.6174513485384432,1,1.0
1.0,40000.0,17.77,0.69,27404.0,937.284,937.284,100.0,-0.0,60733.530000000006,40000.0,0.6586147717743394,1,1.0
1.0,42500.0,17.77,0.54,22990.0,937.284,937.284,100.0,-0.0,60733.530000000006,42500.0,0.6997781950102356,1,1.0
1.0,45000.0,17.77,0.42,19103.0,937.284,937.284,100.0,-0.0,60733.530000000006,45000.0,0.7409416182461318,1,1.0
1.0,47500.0,17.77,0.33,15730.0,937.284,937.284,100.0,-0.0,60733.530000000006,47500.0,0.7821050414820281,1,1.0
1.0,50000.0,17.77,0.26,12870.0,937.284,937.284,100.0,-0.0,60733.530000000006,50000.0,0.8232684647179243,1,1.0
1.0,55000.0,17.77,0.16,8682.0,937.284,937.284,100.0,-0.0,60733.530000000006,55000.0,0.9055953111897167,1,1.0
1.0,60000.0,17.77,0.11,6537.0,937.284,937.284,100.0,-0.0,60733.530000000006,60000.0,0.9879221576615091,1,1.0
1.0,65000.0,17.77,0.1,6237.0,937.284,937.284,100.0,-0.0,60733.530000000006,65000.0,1.0702490041333015,1,1.0
1.0,70000.0,17.77,0.09,6237.0,937.284,937.284,100.0,-0.0,60733.530000000006,70000.0,1.152575850605094,1,1.0
1.0,75000.0,17.77,0.08,6237.0,937.284,937.284,100.0,-0.0,60733.530000000006,75000.0,1.2349026970768864,1,1.0
1.0,80000.0,17.77,0.08,6237.0,937.284,937.284,100.0,-0.0,60733.530000000006,80000.0,1.3172295435486787,1,1.0
1.0,85000.0,17.77,0.07,6237.0,937.284,937.284,100.0,-0.0,60733.530000000006,85000.0,1.3995563900204713,1,1.0
1.0,90000.0,17.77,0.07,6237.0,937.284,937.284,100.0,-0.0,60733.530000000006,90000.0,1.4818832364922636,1,1.0
1.0,95000.0,17.77,0.07,6237.0,937.284,937.284,100.0,-0.0,60733.530000000006,95000.0,1.5642100829640562,1,1.0
1.0,100000.0,17.77,0.06,6237.0,937.284,937.284,100.0,-0.0,60733.530000000006,100000.0,1.6465369294358485,1,1.0
1.0,125000.0,17.77,0.05,6237.0,937.284,937.284,100.0,-0.0,60733.530000000006,125000.0,2.0581711617948106,1,1.0
1.0,150000.0,17.77,0.04,6237.0,937.284,937.284,100.0,-0.0,60733.530000000006,150000.0,2.4698053941537728,1,1.0
1.0,175000.0,17.77,0.04,6237.0,937.284,937.284,100.0,-0.0,60733.530000000006,175000.0,2.881439626512735,1,1.0
1.0,200000.0,17.77,0.03,6237.0,937.284,937.284,100.0,-0.0,60733.530000000006,200000.0,3.293073858871697,1,1.0
1.0,225000.0,17.77,0.03,6237.0,937.284,937.284,100.0,-0.0,60733.530000000006,225000.0,3.704708091230659,1,1.0
1.0,250000.0,17.77,0.02,6237.0,937.284,937.284,100.0,-0.0,60733.530000000006,250000.0,4.116342323589621,1,1.0
1.0,275000.0,17.77,0.02,6237.0,937.284,937.284,100.0,-0.0,60733.530000000006,275000.0,4.527976555948584,1,1.0
1.0,300000.0,17.77,0.02,6237.0,937.284,937.284,100.0,-0.0,60733.530000000006,300000.0,4.9396107883075455,1,1.0
1.0,300000.0,17.77,0.02,6237.0,937.284,937.284,100.0,-0.0,60733.530000000006,305000.0,5.021937634779338,1,1.0
1.0,300000.0,17.77,0.02,6237.0,937.284,937.284,100.0,-0.0,60733.530000000006,0.0,0.0,2,0.0
2.0,1000.0,17.77,1.06,1059.0,279.317,937.279,29.80083838430179,0.0,60733.530000000006,1000.0,0.016465369294358486,2,0.2980083838430179
2.0,2000.0,17.77,1.06,2117.0,434.814,937.272,46.39144239879139,0.0,60733.530000000006,2000.0,0.03293073858871697,2,0.4639144239879139
2.0,3000.0,17.77,1.06,3174.0,544.817,937.264,58.12844620085696,0.0,60733.530000000006,3000.0,0.049396107883075455,2,0.5812844620085696
2.0,4000.0,17.77,1.06,4229.0,626.84,937.27,66.87934106500796,-0.0,60733.530000000006,4000.0,0.06586147717743394,2,0.6687934106500797
2.0,5000.0,17.77,1.06,5284.0,688.5,937.28,73.45723796517582,-0.0,60733.530000000006,5000.0,0.08232684647179242,2,0.7345723796517583
2.0,6000.0,17.77,1.06,6338.0,736.185,937.281,78.54474805314521,-0.0,60733.530000000006,6000.0,0.09879221576615091,2,0.7854474805314521
2.0,7000.0,17.77,1.06,7392.0,773.645,937.281,82.54141500787918,-0.0,60733.530000000006,7000.0,0.1152575850605094,2,0.8254141500787918
2.0,8000.0,17.77,1.06,8444.0,803.043,937.281,85.67793436546778,-0.0,60733.530000000006,8000.0,0.1317229543548679,2,0.8567793436546778
