DDT_hr,Vol_cf,Max_Inflow_cfs,Max_Depth_ft,Max_Storage_Vol_cf,Treated_mgal,Total_mgal,Capture_Efficiency_%,Flow_Balance_Error_%,design_storm_volume_cuft,vol_cuft,size_fraction,ddt_hr,capture_fraction
,,,,,,,,,,,0.0,1,0.0
1.0,1000.0,15.6,1.05,1051.0,311.08,677.542,45.91302089021787,0.0,53252.100000000006,1000.0,0.01877860215841253,1,0.4591302089021787
1.0,2000.0,15.6,1.05,2100.0,449.142,677.542,66.28991265486125,0.0,53252.100000000006,2000.0,0.03755720431682506,1,0.6628991265486125
1.0,3000.0,15.6,1.05,3148.0,529.237,677.542,78.11132003624867,0.0,53252.100000000006,3000.0,0.05633580647523759,1,0.7811132003624867
1.0,4000.0,15.6,1.05,4193.0,578.259,677.542,85.3465910600376,0.0,53252.100000000006,4000.0,0.07511440863365013,1,0.8534659106003759
1.0,5000.0,15.6,1.05,5237.0,610.008,677.542,90.03249983026883,0.0,53252.100000000006,5000.0,0.09389301079206265,1,0.9003249983026883
1.0,6000.0,15.6,1.05,6279.0,630.956,677.542,93.12426388327218,0.0,53252.100000000006,6000.0,0.11267161295047518,1,0.9312426388327217
1.0,7000.0,15.6,1.05,7318.0,644.953,677.542,95.19011367560977,0.0,53252.100000000006,7000.0,0.1314502151088877,1,0.9519011367560977
1.0,8000.0,15.6,1.04,8356.0,654.715,677.542,96.63090996572906,-0.0,53252.100000000006,8000.0,0.15022881726730025,1,0.9663090996572906
1.0,9000.0,15.6,1.04,9393.0,661.263,677.542,97.59734451886376,-0.0,53252.100000000006,9000.0,0.16900741942571276,1,0.9759734451886376
1.0,10000.0,15.6,1.04,10427.0,665.736,677.542,98.25752499476047,-0.0,53252.100000000006,10000.0,0.1877860215841253,1,0.9825752499476047
1.0,12500.0,15.6,1.04,13004.0,672.225,677.542,99.21525160063878,-0.0,53252.100000000006,12500.0,0.23473252698015662,1,0.9921525160063878
1.0,15000.0,15.6,1.04,15570.0,674.975,677.542,99.62113049818312,-0.0,53252.100000000006,15000.0,0.28167903237618797,1,0.9962113049818312
1.0,17500.0,15.6,1.04,18118.0,676.081,677.542,99.78436761115915,-0.0,53252.100000000006,17500.0,0.32862553777221926,1,0.9978436761115915
1.0,20000.0,15.6,1.03,20650.0,676.63,677.542,99.86539579834164,-0.0,53252.100000000006,20000.0,0.3755720431682506,1,0.9986539579834164
1.0,22500.0,15.6,1.03,23166.0,676.976,677.542,99.91646274326904,-0.0,53252.100000000006,22500.0,0.42251854856428195,1,0.9991646274326904
1.0,25000.0,15.6,1.03,25666.0,677.168,677.542,99.94480046993397,-0.0,53252.100000000006,25000.0,0.46946505396031324,1,0.9994480046993397
1.0,27500.0,15.6,1.02,28148.0,677.29,677.542,99.96280673375227,-0.0,53252.100000000006,27500.0,0.5164115593563445,1,0.9996280673375227
1.0,30000.0,15.6,1.02,30611.0,677.372,677.542,99.97490930451542,-0.0,53252.100000000006,30000.0,0.5633580647523759,1,0.9997490930451542
1.0,32500.0,15.6,1.02,32989.0,677.449,677.542,99.98627391364668,-0.0,53252.100000000006,32500.0,0.6103045701484072,1,0.9998627391364668
1.0,35000.0,15.6,1.01,35234.0,677.52,677.542,99.99675296881964,-0.0,53252.100000000006,35000.0,0.6572510755444385,1,0.9999675296881964
1.0,37500.0,15.6,0.84,31512.0,677.542,677.542,100.0,-0.0,53252.100000000006,37500.0,0.7041975809404699,1,1.0
1.0,40000.0,15.6,0.65,25843.0,677.542,677.542,100.0,-0.0,53252.100000000006,40000.0,0.7511440863365012,1,1.0
1.0,42500.0,15.6,0.49,20797.0,677.542,677.542,100.0,-0.0,53252.100000000006,42500.0,0.7980905917325325,1,1.0
1.0,45000.0,15.6,0.36,16359.000000000002,677.542,677.542,100.0,-0.0,53252.100000000006,45000.0,0.8450370971285639,1,1.0
1.0,47500.0,15.6,0.26,12528.0,677.542,677.542,100.0,-0.0,53252.100000000006,47500.0,0.8919836025245952,1,1.0
1.0,50000.0,15.6,0.19,9304.0,677.542,677.542,100.0,-0.0,53252.100000000006,50000.0,0.9389301079206265,1,1.0
1.0,55000.0,15.6,0.1,5515.0,677.542,677.542,100.0,-0.0,53252.100000000006,55000.0,1.032823118712689,1,1.0
1.0,60000.0,15.6,0.09,5510.0,677.542,677.542,100.0,-0.0,53252.100000000006,60000.0,1.1267161295047519,1,1.0
1.0,65000.0,15.6,0.08,5510.0,677.542,677.542,100.0,-0.0,53252.100000000006,65000.0,1.2206091402968144,1,1.0
1.0,70000.0,15.6,0.08,5510.0,677.542,677.542,100.0,-0.0,53252.100000000006,70000.0,1.314502151088877,1,1.0
1.0,75000.0,15.6,0.07,5510.0,677.542,677.542,100.0,0.0,53252.100000000006,75000.0,1.4083951618809398,1,1.0
1.0,80000.0,15.6,0.07,5510.0,677.542,677.542,100.0,-0.0,53252.100000000006,80000.0,1.5022881726730024,1,1.0
1.0,85000.0,15.6,0.06,5510.0,677.542,677.542,100.0,-0.0,53252.100000000006,85000.0,1.596181183465065,1,1.0
1.0,90000.0,15.6,0.06,5510.0,677.542,677.542,100.0,0.0,53252.100000000006,90000.0,1.6900741942571278,1,1.0
1.0,95000.0,15.6,0.06,5510.0,677.542,677.542,100.0,-0.0,53252.100000000006,95000.0,1.7839672050491904,1,1.0
1.0,100000.0,15.6,0.06,5510.0,677.542,677.542,100.0,0.0,53252.100000000006,100000.0,1.877860215841253,1,1.0
1.0,125000.0,15.6,0.04,5510.0,677.542,677.542,100.0,-0.0,53252.100000000006,125000.0,2.347325269801566,1,1.0
1.0,150000.0,15.6,0.04,5510.0,677.542,677.542,100.0,-0.0,53252.100000000006,150000.0,2.8167903237618797,1,1.0
1.0,175000.0,15.6,0.03,5510.0,677.542,677.542,100.0,-0.0,53252.100000000006,175000.0,3.286255377722193,1,1.0
1.0,200000.0,15.6,0.03,5510.0,677.542,677.542,100.0,-0.0,53252.100000000006,200000.0,3.755720431682506,1,1.0
1.0,225000.0,15.6,0.02,5510.0,677.542,677.542,100.0,0.0,53252.100000000006,225000.0,4.225185485642819,1,1.0
1.0,250000.0,15.6,0.02,5510.0,677.542,677.542,100.0,-0.0,53252.100000000006,250000.0,4.694650539603132,1,1.0
1.0,275000.0,15.6,0.02,5510.0,677.542,677.542,100.0,-0.0,53252.100000000006,275000.0,5.164115593563446,1,1.0
1.0,300000.0,15.6,0.02,5510.0,677.542,677.542,100.0,0.0,53252.100000000006,300000.0,5.633580647523759,1,1.0
,,,,,,,,,,,0.0,2,0.0
2.0,1000.0,15.6,1.05,1052.0,207.364,677.542,30.605335167413976,0.0,53252.100000000006,1000.0,0.01877860215841253,2,0.3060533516741398
