DDT_hr,Vol_cf,Max_Inflow_cfs,Max_Depth_ft,Max_Storage_Vol_cf,Treated_mgal,Total_mgal,Capture_Efficiency_%,Flow_Balance_Error_%,design_storm_volume_cuft,vol_cuft,size_fraction,ddt_hr,capture_fraction
1.0,150000.0,32.09,0.07,11053.0,850.216,850.216,100.0,-0.0,68190.4575,150000.0,2.199721273317458,1,1.0
1.0,175000.0,32.09,0.06,11053.0,850.216,850.216,100.0,-0.0,68190.4575,175000.0,2.566341485537034,1,1.0
1.0,200000.0,32.09,0.06,11053.0,850.216,850.216,100.0,-0.0,68190.4575,200000.0,2.9329616977566104,1,1.0
1.0,225000.0,32.09,0.05,11053.0,850.216,850.216,100.0,-0.0,68190.4575,225000.0,3.2995819099761867,1,1.0
1.0,250000.0,32.09,0.04,11053.0,850.216,850.216,100.0,-0.0,68190.4575,250000.0,3.666202122195763,1,1.0
1.0,275000.0,32.09,0.04,11053.0,850.216,850.216,100.0,-0.0,68190.4575,275000.0,4.032822334415339,1,1.0
1.0,300000.0,32.09,0.04,11053.0,850.216,850.216,100.0,-0.0,68190.4575,300000.0,4.399442546634916,1,1.0
1.0,300000.0,32.09,0.04,11053.0,850.216,850.216,100.0,-0.0,68190.4575,305000.0,4.472766589078831,1,1.0
1.0,300000.0,32.09,0.04,11053.0,850.216,850.216,100.0,-0.0,68190.4575,0.0,0.0,2,0.0
2.0,1000.0,32.09,1.11,1107.0,230.784,850.215,27.14419293943297,0.0,68190.4575,1000.0,0.014664808488783052,2,0.2714419293943297
2.0,2000.0,32.09,1.11,2212.0,361.863,850.216,42.56130206912126,0.0,68190.4575,2000.0,0.029329616977566104,2,0.4256130206912126
2.0,3000.0,32.09,1.11,3317.0,455.646,850.216,53.59179314433038,0.0,68190.4575,3000.0,0.04399442546634916,2,0.5359179314433038
2.0,4000.0,32.09,1.11,4420.0,526.854,850.216,61.96707660171062,0.0,68190.4575,4000.0,0.05865923395513221,2,0.6196707660171062
2.0,5000.0,32.09,1.1,5523.0,581.995,850.216,68.45260498508614,0.0,68190.4575,5000.0,0.07332404244391526,2,0.6845260498508614
2.0,6000.0,32.09,1.1,6624.0,625.786,850.216,73.60317848640815,-0.0,68190.4575,6000.0,0.08798885093269831,2,0.7360317848640815
2.0,7000.0,32.09,1.1,7725.0,660.124,850.216,77.64191687759346,-0.0,68190.4575,7000.0,0.10265365942148136,2,0.7764191687759346
2.0,8000.0,32.09,1.1,8824.0,687.618,850.216,80.87568335575901,-0.0,68190.4575,8000.0,0.11731846791026442,2,0.8087568335575901
2.0,9000.0,32.09,1.1,9923.0,710.015,850.216,83.50995511728783,-0.0,68190.4575,9000.0,0.13198327639904747,2,0.8350995511728783
2.0,10000.0,32.09,1.1,11020.0,728.68,850.216,85.70527959953705,-0.0,68190.4575,10000.0,0.14664808488783052,2,0.8570527959953705
2.0,12500.0,32.09,1.1,13759.0,763.389,850.216,89.78765396087583,-0.0,68190.4575,12500.0,0.18331010610978815,2,0.8978765396087582
2.0,15000.0,32.09,1.1,16492.0,786.204,850.216,92.47108969955868,-0.0,68190.4575,15000.0,0.2199721273317458,2,0.9247108969955867
2.0,17500.0,32.09,1.1,19218.0,802.341,850.216,94.36907797547916,-0.0,68190.4575,17500.0,0.2566341485537034,2,0.9436907797547915
2.0,20000.0,32.09,1.1,21939.0,813.9,850.216,95.72861484610968,-0.0,68190.4575,20000.0,0.29329616977566103,2,0.9572861484610968
2.0,22500.0,32.09,1.1,24652.0,821.892,850.216,96.66861127054771,-0.0,68190.4575,22500.0,0.3299581909976187,2,0.9666861127054771
2.0,25000.0,32.09,1.09,27360.0,828.077,850.216,97.3960734683892,-0.0,68190.4575,25000.0,0.3666202122195763,2,0.973960734683892
2.0,27500.0,32.09,1.09,30061.0,833.08,850.216,97.98451217102478,-0.0,68190.4575,27500.0,0.4032822334415339,2,0.9798451217102477
2.0,30000.0,32.09,1.09,32756.0,836.814,850.216,98.42369468464484,-0.0,68190.4575,30000.0,0.4399442546634916,2,0.9842369468464485
2.0,32500.0,32.09,1.09,35444.0,839.52,850.216,98.74196674727364,-0.0,68190.4575,32500.0,0.4766062758854492,2,0.9874196674727364
2.0,35000.0,32.09,1.09,38126.0,841.638,850.216,98.99107991381014,-0.0,68190.4575,35000.0,0.5132682971074068,2,0.9899107991381014
2.0,37500.0,32.09,1.09,40802.0,843.422,850.216,99.2009089454915,-0.0,68190.4575,37500.0,0.5499303183293645,2,0.9920090894549151
2.0,40000.0,32.09,1.09,43472.0,844.939,850.216,99.3793341927228,-0.0,68190.4575,40000.0,0.5865923395513221,2,0.9937933419272279
2.0,42500.0,32.09,1.09,46135.0,846.119,850.216,99.51812245358826,-0.0,68190.4575,42500.0,0.6232543607732797,2,0.9951812245358826
2.0,45000.0,32.09,1.08,48792.0,847.215,850.216,99.64703087215484,-0.0,68190.4575,45000.0,0.6599163819952374,2,0.9964703087215484
2.0,47500.0,32.09,1.08,51442.0,848.158,850.216,99.757943863677,-0.0,68190.4575,47500.0,0.696578403217195,2,0.99757943863677
2.0,50000.0,32.09,1.08,54086.0,848.859,850.216,99.84039350000472,-0.0,68190.4575,50000.0,0.7332404244391526,2,0.9984039350000472
2.0,55000.0,32.09,1.08,59328.0,849.656,850.216,99.934134384674,-0.0,68190.4575,55000.0,0.8065644668830678,2,0.99934134384674
2.0,60000.0,32.09,1.07,64245.99999999999,849.848,850.216,99.9567168813572,-0.0,68190.4575,60000.0,0.8798885093269831,2,0.999567168813572
2.0,65000.0,32.09,1.06,68861.0,849.942,850.216,99.96777289535837,-0.0,68190.4575,65000.0,0.9532125517708984,2,0.9996777289535836
2.0,70000.0,32.09,1.05,73295.0,850.03,850.216,99.97812320633815,-0.0,68190.4575,70000.0,1.0265365942148137,2,0.9997812320633815
2.0,75000.0,32.09,1.03,77462.0,850.113,850.216,99.98788543146682,-0.0,68190.4575,75000.0,1.099860636658729,2,0.9998788543146682
2.0,80000.0,32.09,1.01,81066.0,850.191,850.216,99.99705957074436,-0.0,68190.4575,80000.0,1.1731846791026441,2,0.9999705957074435
