,subbasin,lu_resair_pct,lu_commcmu_pct,lu_rgcd_pct,lu_com_pct,lu_indh_pct,lu_indl_pct,lu_resl_pct,lu_ins_pct,lu_resm_pct,lu_resmfhd_pct,lu_comn_pct,lu_comnmu_pct,lu_os_pct,lu_shore_pct,lu_rgctm_pct,lc_pasture_pct,lc_grass_pct,lc_water_pct,lc_imp-roof_pct,lc_imp-nonroof_pct,lc_imp-total_pct,age_of_development_score,pavement_condition_score,biodiversity_pct,urban_heat_degC,discharge_points_count,access,economic_value,environmental_value,livability_value,opportunity_value
0,FL_01,0.0,0.0008322365255302,0.0,0.0422333589707543,0.0,0.0,0.5841078060922432,0.1250211881890627,0.1213251224747967,0.0,0.0393618023879044,0.0,0.0871184853597084,0.0,0.0,0.1824684887402815,0.2000492021592885,0.0,0.1773026132468746,0.2715774763442595,0.4488800895911342,4.99258530709416,59.70906176220455,0.0705276376660822,29.30995901767752,5.0,1.2620594613028386,1.5105083820172107,0.8732990810508505,0.4000648686733078,0.7326148713608998
1,FL_02,0.0,0.0558997840320686,0.0,0.0,0.2554155047181375,0.0083418136426531,0.1192931307981332,0.0617585305904409,0.1529118166226601,0.0026931142654804,0.0470379532445181,0.0,0.2966483520859078,0.0,0.0,0.1641006358963205,0.2538959732723752,0.0,0.1066297418925242,0.2934042521228849,0.4000339940154092,4.961520362201287,60.19654350612982,0.1348716131135955,28.85620875565672,28.0,-0.34652870414440434,-0.8652664287814871,0.050600638462825934,-1.6018936833643782,-0.7892750492739115
2,FL_03,0.0078275274400898,0.0,0.0,0.0432785256359783,0.0767648305330149,0.0467428888297217,0.3658077806378137,0.0379397883187708,0.1311218309330518,0.0,0.0322931807419517,0.0494028804557803,0.1881388357385323,0.0,0.0206819307352943,0.1838468162311203,0.2085480070376755,0.0011936675282476,0.1549013007905289,0.342241617667526,0.4971429184580549,4.942789622963355,65.397894772304,0.04949512615054,28.501146394967744,19.0,-1.3171408000641935,-1.1465467414513801,1.4970577372377794,-1.5665839396032364,-1.21214879883533
3,FL_04,0.140259575621987,0.0,0.0,0.0509650634279887,0.0,0.0440736760609923,0.3490228327074103,0.0348668564297076,0.0541857001897487,3.677186740764803e-05,0.0091306203958853,0.0,0.1398926819707721,0.0,0.1775662213281001,0.2108081270389769,0.135652505108,0.0,0.177895017476261,0.3321570620020863,0.5100520794783473,4.992108388805712,61.0697654239641,0.1185064109688248,28.894392712412536,4.0,-0.28760697876111563,0.012807763777499676,-0.3815811047001497,-1.6173959586389148,-0.7795453400010289
4,FL_05,0.0,0.0,0.0,0.1081361575863963,0.0,0.0,0.5853393295819712,0.0,0.0304372235852632,0.0,0.0207250418219831,0.0,0.0046592696310834,0.0103971661774562,0.2403058116158463,0.2053592340181788,0.1538570088191252,0.0,0.1740569491915636,0.4088780044206779,0.5829349536122416,4.998515791299861,59.21081907390075,0.0010612566795572,29.299657011348213,17.0,-0.5475159260993023,-0.6873384917787971,-1.635780482426884,-0.48635145258710055,-0.9793109998943315
5,FL_06,0.0,0.0,0.0,0.0169254479399168,0.0,0.0,0.8468955960559087,0.0,0.0860757133786088,0.0,0.0227278080964528,0.0,0.0253266188684943,0.0020488156606183,0.0,0.2725113820251759,0.1830905327943857,0.0,0.2003638019424285,0.274143989793784,0.4745077917362125,4.9923975648211165,61.70951440559464,0.0101005306058906,29.558469056419177,3.0,-0.12842653683535896,-1.4364256011535237,-1.663645419706633,-1.9653352227080363,-1.4004039245740416
6,FL_07,0.0,0.0,0.0,0.218562026761266,0.0,0.0038054632668073,0.4275227726696821,0.002680677639711,0.1379210441710859,0.0001913565163841,0.0202159592115324,0.0,0.0896378424213969,0.0994628573421339,0.0,0.2122620697779457,0.180040382361053,0.0323409844277938,0.1450897540860529,0.2788036079976173,0.4238933620836702,4.998998623286599,57.02165018709347,0.1565618282900275,29.172903415495504,2.0,-0.7029150100013762,-0.004574389431564366,-0.8509373336221303,-0.5203395508594167,-0.6207181639819508
7,FL_08,0.0,0.0,0.0,0.2032355326148328,0.0,0.0139536161556082,0.5851356042718662,0.0,0.1791332827958748,0.0,0.0058633367845909,0.0,0.0125991246337468,7.950274348000788e-05,0.0,0.2290465569310212,0.1163618154333413,0.0,0.2223509302420152,0.3522481187409884,0.5745990489830036,4.989784314222201,59.916780175582886,0.0233455737367487,29.419913072682217,0.0,-0.779776454217201,-1.0385361259531631,-0.24377071747301654,-0.5834443553324076,-0.6147948627493177
8,FL_09,0.0,0.0275039209532239,0.0,0.029739378938807,0.0,0.0,0.743086791846249,0.0,0.1206800722601415,0.0,0.0405040408113389,0.0,0.0384857951902395,0.0,0.0,0.1858368935498,0.253531461818054,0.0,0.1829199234447556,0.2578625032717107,0.4407824267164664,4.981749636920619,59.00428987468871,0.0265469864710637,28.798609880984564,18.0,-3.8987046927696705,-4.720820125038821,-0.020540767015340022,-2.4960433763543577,-2.667323612968386
9,FL_10,0.0,0.0,0.0,0.2429587485443774,0.0,0.0002058229917766,0.1000153822079355,0.0,0.4587484043572917,0.0,0.0581941896641679,0.0,0.1398774522344508,0.0,0.0,0.1505802399210793,0.0653895313437037,0.0235353891755157,0.2089945029025691,0.3937326102563364,0.6027271131589056,5.0,52.22339756206932,0.0994018614532933,29.31380181082452,7.0,-1.830867875833381,-1.0642987702745301,-0.21343279605554982,-0.41183399625772166,-1.4538752094532208
10,FS_01,0.0,0.1815376395204372,0.0,0.0,0.0204332267491028,0.0309524727873548,0.3966223849059276,0.0504672203607075,0.1452091269669351,0.0135678402288095,0.0726890690897602,0.0,0.0885210193909649,0.0,0.0,0.2261329646162775,0.1365191491053988,0.0,0.1723665684327824,0.378954249250295,0.5513208176830775,4.994615602662031,59.52034951454317,0.0,29.170556452798145,0.0,-0.0712230413201216,-0.3312354609409621,-0.10726639411763512,-0.1726484044988726,-0.26725976045172906
11,FS_02,0.0,0.0,0.0,0.0,0.2759956701876267,0.1114591925249984,0.0,0.0,0.0,0.0,0.0,0.0,0.0040471514427412,0.0,0.6084979858446337,0.1233838838747534,0.0460147727199346,0.0,0.2413334285328068,0.547405191580413,0.7887386201132198,4.999344442673442,56.1097428152816,0.0,28.492465463982324,0.0,0.11212951334388246,-0.13921462925446684,-0.18528952517985225,-0.8595236526355841,-0.2823585404856591
12,FS_03,0.0,0.0,0.0,0.0808890421528216,0.0754515556121273,0.1581512666923854,0.2873863069115056,0.0163117303135442,0.0654890734235365,0.0048566464455871,0.0222781477477373,0.0,0.2363527270179689,0.0,0.0528335036827857,0.2200274250299071,0.2361316076815366,0.0007372953770173,0.1233203294896157,0.3427967908234938,0.4661171203131096,4.999482928070123,60.85607985129936,0.0105273666601767,28.21555456942205,3.0,-0.15403290023032493,-0.8565597727058323,-1.9420529004656923,-1.1332338425042359,-0.9864664201630089
13,FS_04,0.0,0.0,0.0610705405711027,0.0,0.0990171321103577,0.1555248828014852,0.485539999129543,0.0012522033802853,0.0859375957026072,0.0,0.0200310229367009,0.0,0.0916266233679175,0.0,0.0,0.2001016398177777,0.2038597015417338,0.0,0.1965667301019371,0.3127038769799089,0.509270607081846,4.997999491301865,58.42497366657874,0.0,28.4222785237816,1.0,-0.14896624488669907,-1.290142424313149,-1.9467783413364645,-0.6141791365276922,-0.9122412506537401
14,FS_05,0.0,0.0,0.6080561152301208,0.0,0.0,0.0,0.1857434421821643,0.0595959922148854,0.064243743800517,0.0040011249460792,0.0112795851622987,0.006169354729349,0.0159539390705584,0.0449567026640269,0.0,0.1939378688803122,0.0386679097413875,0.0013993874870849,0.2530509474087246,0.4873154337168402,0.7403663811255649,4.99974989098508,56.86498336606541,0.0,29.350494306676936,7.0,0.65917326859715,-4.6701671879861255,-5.033733578639756,-4.3978092410691305,-2.552093017557477
