vol_cuft,size_fraction,ddt_hr,capture_fraction
,0.0,1,0.0
1000.0,0.0165,1,0.4457
2000.0,0.0329,1,0.6417
3000.0,0.0494,1,0.7579
4000.0,0.0659,1,0.8322
5000.0,0.0823,1,0.8808
6000.0,0.0988,1,0.9136
7000.0,0.1153,1,0.9364
8000.0,0.1317,1,0.9522
9000.0,0.1482,1,0.9636
10000.0,0.1647,1,0.9721
12500.0,0.2058,1,0.985
15000.0,0.247,1,0.9913
17500.0,0.2881,1,0.9943
20000.0,0.3293,1,0.9963
22500.0,0.3705,1,0.9975
25000.0,0.4116,1,0.9986
27500.0,0.4528,1,0.9992
30000.0,0.494,1,0.9996
32500.0,0.5351,1,0.9998
35000.0,0.5763,1,1.0
37500.0,0.6175,1,1.0
40000.0,0.6586,1,1.0
42500.0,0.6998,1,1.0
45000.0,0.7409,1,1.0
47500.0,0.7821,1,1.0
50000.0,0.8233,1,1.0
55000.0,0.9056,1,1.0
60000.0,0.9879,1,1.0
65000.0,1.0702,1,1.0
70000.0,1.1526,1,1.0
75000.0,1.2349,1,1.0
80000.0,1.3172,1,1.0
85000.0,1.3996,1,1.0
90000.0,1.4819,1,1.0
95000.0,1.5642,1,1.0
100000.0,1.6465,1,1.0
125000.0,2.0582,1,1.0
150000.0,2.4698,1,1.0
175000.0,2.8814,1,1.0
200000.0,3.2931,1,1.0
225000.0,3.7047,1,1.0
250000.0,4.1163,1,1.0
275000.0,4.528,1,1.0
300000.0,4.9396,1,1.0
,0.0,2,0.0
1000.0,0.0165,2,0.298
2000.0,0.0329,2,0.4639
3000.0,0.0494,2,0.5813
4000.0,0.0659,2,0.6688
5000.0,0.0823,2,0.7346
6000.0,0.0988,2,0.7854
7000.0,0.1153,2,0.8254
8000.0,0.1317,2,0.8568
9000.0,0.1482,2,0.8817
10000.0,0.1647,2,0.9018
12500.0,0.2058,2,0.9366
15000.0,0.247,2,0.9582
17500.0,0.2881,2,0.9719
20000.0,0.3293,2,0.9803
22500.0,0.3705,2,0.9858
25000.0,0.4116,2,0.9895
27500.0,0.4528,2,0.9919
30000.0,0.494,2,0.9935
32500.0,0.5351,2,0.9948
35000.0,0.5763,2,0.996
37500.0,0.6175,2,0.9967
40000.0,0.6586,2,0.9974
42500.0,0.6998,2,0.9981
45000.0,0.7409,2,0.9987
47500.0,0.7821,2,0.9992
50000.0,0.8233,2,0.9995
55000.0,0.9056,2,0.9998
60000.0,0.9879,2,1.0
65000.0,1.0702,2,1.0
70000.0,1.1526,2,1.0
75000.0,1.2349,2,1.0
80000.0,1.3172,2,1.0
85000.0,1.3996,2,1.0
90000.0,1.4819,2,1.0
95000.0,1.5642,2,1.0
100000.0,1.6465,2,1.0
125000.0,2.0582,2,1.0
150000.0,2.4698,2,1.0
175000.0,2.8814,2,1.0
200000.0,3.2931,2,1.0
225000.0,3.7047,2,1.0
250000.0,4.1163,2,1.0
275000.0,4.528,2,1.0
300000.0,4.9396,2,1.0
,0.0,3,0.0
1000.0,0.0165,3,0.2304
2000.0,0.0329,3,0.372
