vol_cuft,size_fraction,ddt_hr,capture_fraction
17500.0,0.2566,12,0.6436
20000.0,0.2933,12,0.6865
22500.0,0.33,12,0.7231
25000.0,0.3666,12,0.7545
27500.0,0.4033,12,0.7814
30000.0,0.4399,12,0.8044
32500.0,0.4766,12,0.8242
35000.0,0.5133,12,0.8415
37500.0,0.5499,12,0.8569
40000.0,0.5866,12,0.8702
42500.0,0.6233,12,0.8819
45000.0,0.6599,12,0.8921
47500.0,0.6966,12,0.9012
50000.0,0.7332,12,0.9093
55000.0,0.8066,12,0.9226
60000.0,0.8799,12,0.9338
65000.0,0.9532,12,0.9429
70000.0,1.0265,12,0.9506
75000.0,1.0999,12,0.9572
80000.0,1.1732,12,0.9631
85000.0,1.2465,12,0.9685
90000.0,1.3198,12,0.9733
95000.0,1.3932,12,0.9774
100000.0,1.4665,12,0.9807
125000.0,1.8331,12,0.9906
150000.0,2.1997,12,0.9958
175000.0,2.5663,12,0.9991
200000.0,2.933,12,1.0
225000.0,3.2996,12,1.0
250000.0,3.6662,12,1.0
275000.0,4.0328,12,1.0
300000.0,4.3994,12,1.0
,0.0,24,0.0
1000.0,0.0147,24,0.0463
2000.0,0.0293,24,0.0849
3000.0,0.044,24,0.1207
4000.0,0.0587,24,0.1542
5000.0,0.0733,24,0.1858
7500.0,0.11,24,0.2576
10000.0,0.1466,24,0.3223
12500.0,0.1833,24,0.3812
15000.0,0.22,24,0.4339
17500.0,0.2566,24,0.481
20000.0,0.2933,24,0.5239
22500.0,0.33,24,0.5626
25000.0,0.3666,24,0.5974
27500.0,0.4033,24,0.6288
30000.0,0.4399,24,0.6573
40000.0,0.5866,24,0.7497
50000.0,0.7332,24,0.8153
60000.0,0.8799,24,0.861
70000.0,1.0265,24,0.8929
80000.0,1.1732,24,0.9157
90000.0,1.3198,24,0.9319
100000.0,1.4665,24,0.9441
125000.0,1.8331,24,0.9659
150000.0,2.1997,24,0.9797
175000.0,2.5663,24,0.9873
200000.0,2.933,24,0.9922
225000.0,3.2996,24,0.996
