vol_cuft,size_fraction,ddt_hr,capture_fraction
,0.0,1,0.0
1000.0,0.0188,1,0.4591
2000.0,0.0376,1,0.6629
3000.0,0.0563,1,0.7811
4000.0,0.0751,1,0.8535
5000.0,0.0939,1,0.9003
6000.0,0.1127,1,0.9312
7000.0,0.1315,1,0.9519
8000.0,0.1502,1,0.9663
9000.0,0.169,1,0.976
10000.0,0.1878,1,0.9826
12500.0,0.2347,1,0.9922
15000.0,0.2817,1,0.9962
17500.0,0.3286,1,0.9978
20000.0,0.3756,1,0.9987
22500.0,0.4225,1,0.9992
25000.0,0.4695,1,0.9994
27500.0,0.5164,1,0.9996
30000.0,0.5634,1,0.9997
32500.0,0.6103,1,0.9999
35000.0,0.6573,1,1.0
37500.0,0.7042,1,1.0
40000.0,0.7511,1,1.0
42500.0,0.7981,1,1.0
45000.0,0.845,1,1.0
47500.0,0.892,1,1.0
50000.0,0.9389,1,1.0
55000.0,1.0328,1,1.0
60000.0,1.1267,1,1.0
65000.0,1.2206,1,1.0
70000.0,1.3145,1,1.0
75000.0,1.4084,1,1.0
80000.0,1.5023,1,1.0
85000.0,1.5962,1,1.0
90000.0,1.6901,1,1.0
95000.0,1.784,1,1.0
100000.0,1.8779,1,1.0
125000.0,2.3473,1,1.0
150000.0,2.8168,1,1.0
175000.0,3.2863,1,1.0
200000.0,3.7557,1,1.0
225000.0,4.2252,1,1.0
250000.0,4.6947,1,1.0
275000.0,5.1641,1,1.0
300000.0,5.6336,1,1.0
,0.0,2,0.0
1000.0,0.0188,2,0.3061
2000.0,0.0376,2,0.4784
3000.0,0.0563,2,0.6006
4000.0,0.0751,2,0.6912
5000.0,0.0939,2,0.7581
6000.0,0.1127,2,0.8087
7000.0,0.1315,2,0.8473
8000.0,0.1502,2,0.8777
9000.0,0.169,2,0.9017
10000.0,0.1878,2,0.9207
12500.0,0.2347,2,0.9528
15000.0,0.2817,2,0.9722
17500.0,0.3286,2,0.9828
20000.0,0.3756,2,0.9892
22500.0,0.4225,2,0.9928
25000.0,0.4695,2,0.9952
27500.0,0.5164,2,0.9968
30000.0,0.5634,2,0.9977
32500.0,0.6103,2,0.9982
35000.0,0.6573,2,0.9987
37500.0,0.7042,2,0.999
40000.0,0.7511,2,0.9993
42500.0,0.7981,2,0.9995
45000.0,0.845,2,0.9996
47500.0,0.892,2,0.9997
50000.0,0.9389,2,0.9997
55000.0,1.0328,2,0.9999
60000.0,1.1267,2,1.0
65000.0,1.2206,2,1.0
70000.0,1.3145,2,1.0
75000.0,1.4084,2,1.0
80000.0,1.5023,2,1.0
85000.0,1.5962,2,1.0
90000.0,1.6901,2,1.0
95000.0,1.784,2,1.0
