vol_cuft,size_fraction,ddt_hr,capture_fraction
15000.0,0.2046,12,0.5953
17500.0,0.2387,12,0.646
20000.0,0.2728,12,0.6896
22500.0,0.3068,12,0.7265
25000.0,0.3409,12,0.7585
27500.0,0.375,12,0.7864
30000.0,0.4091,12,0.8105
32500.0,0.4432,12,0.8312
35000.0,0.4773,12,0.8487
37500.0,0.5114,12,0.8637
40000.0,0.5455,12,0.8768
42500.0,0.5796,12,0.8885
45000.0,0.6137,12,0.899
47500.0,0.6478,12,0.9083
50000.0,0.6819,12,0.9168
55000.0,0.7501,12,0.9311
60000.0,0.8183,12,0.943
65000.0,0.8865,12,0.9529
70000.0,0.9546,12,0.9611
75000.0,1.0228,12,0.9676
80000.0,1.091,12,0.9725
85000.0,1.1592,12,0.9763
90000.0,1.2274,12,0.9797
95000.0,1.2956,12,0.9827
100000.0,1.3638,12,0.9853
125000.0,1.7047,12,0.9928
150000.0,2.0457,12,0.996
175000.0,2.3866,12,0.998
200000.0,2.7275,12,0.999
225000.0,3.0685,12,0.9996
250000.0,3.4094,12,1.0
275000.0,3.7504,12,1.0
300000.0,4.0913,12,1.0
,0.0,24,0.0
1000.0,0.0136,24,0.0461
2000.0,0.0273,24,0.0844
3000.0,0.0409,24,0.1199
4000.0,0.0546,24,0.1531
5000.0,0.0682,24,0.1846
7500.0,0.1023,24,0.2567
10000.0,0.1364,24,0.3216
12500.0,0.1705,24,0.3808
15000.0,0.2046,24,0.4348
17500.0,0.2387,24,0.4839
20000.0,0.2728,24,0.5284
22500.0,0.3068,24,0.5681
25000.0,0.3409,24,0.6039
27500.0,0.375,24,0.6364
30000.0,0.4091,24,0.6661
40000.0,0.5455,24,0.7602
50000.0,0.6819,24,0.8253
60000.0,0.8183,24,0.8709
70000.0,0.9546,24,0.9013
80000.0,1.091,24,0.9243
90000.0,1.2274,24,0.9425
100000.0,1.3638,24,0.956
125000.0,1.7047,24,0.9759
150000.0,2.0457,24,0.9856
175000.0,2.3866,24,0.9912
200000.0,2.7275,24,0.9943
225000.0,3.0685,24,0.9963
250000.0,3.4094,24,0.9979
275000.0,3.7504,24,0.9988
300000.0,4.0913,24,0.9993
,0.0,36,0.0
1000.0,0.0136,36,0.0339
2000.0,0.0273,36,0.0633
3000.0,0.0409,36,0.0907
4000.0,0.0546,36,0.1169
5000.0,0.0682,36,0.1418
7500.0,0.1023,36,0.2003
10000.0,0.1364,36,0.2541
12500.0,0.1705,36,0.304
15000.0,0.2046,36,0.3502
17500.0,0.2387,36,0.3939
20000.0,0.2728,36,0.4345
22500.0,0.3068,36,0.4724
25000.0,0.3409,36,0.5072
27500.0,0.375,36,0.5393
30000.0,0.4091,36,0.5693
40000.0,0.5455,36,0.67
50000.0,0.6819,36,0.7461
60000.0,0.8183,36,0.8028
70000.0,0.9546,36,0.846
80000.0,1.091,36,0.8789
90000.0,1.2274,36,0.9041
100000.0,1.3638,36,0.9234
125000.0,1.7047,36,0.9555
150000.0,2.0457,36,0.974
175000.0,2.3866,36,0.9833
200000.0,2.7275,36,0.9891
225000.0,3.0685,36,0.9923
250000.0,3.4094,36,0.9946
275000.0,3.7504,36,0.9963
300000.0,4.0913,36,0.9978
,0.0,48,0.0
1000.0,0.0136,48,0.0273
2000.0,0.0273,48,0.0516
3000.0,0.0409,48,0.0745
4000.0,0.0546,48,0.0961
5000.0,0.0682,48,0.1172
7500.0,0.1023,48,0.1672
10000.0,0.1364,48,0.2138
12500.0,0.1705,48,0.2572
15000.0,0.2046,48,0.2985
17500.0,0.2387,48,0.3374
20000.0,0.2728,48,0.3739
22500.0,0.3068,48,0.4087
25000.0,0.3409,48,0.4415
27500.0,0.375,48,0.472
30000.0,0.4091,48,0.5007
40000.0,0.5455,48,0.6001
50000.0,0.6819,48,0.6796
60000.0,0.8183,48,0.7423
70000.0,0.9546,48,0.7933
80000.0,1.091,48,0.833
90000.0,1.2274,48,0.8647
100000.0,1.3638,48,0.8902
125000.0,1.7047,48,0.9343
150000.0,2.0457,48,0.959
175000.0,2.3866,48,0.9746
200000.0,2.7275,48,0.9833
225000.0,3.0685,48,0.9885
250000.0,3.4094,48,0.9916
275000.0,3.7504,48,0.9939
300000.0,4.0913,48,0.9956
,0.0,72,0.0
1000.0,0.0136,72,0.0201
2000.0,0.0273,72,0.0381
3000.0,0.0409,72,0.0558
4000.0,0.0546,72,0.0726
5000.0,0.0682,72,0.0892
7500.0,0.1023,72,0.1284
10000.0,0.1364,72,0.1661
12500.0,0.1705,72,0.2017
15000.0,0.2046,72,0.2358
17500.0,0.2387,72,0.2683
20000.0,0.2728,72,0.2993
