,node_id,altid,facilitytype,commonname,facilitydetail,flowcontrol,infiltrated,waterquality,flowcontroltype,waterqualitytype,facility_type,design_storm_depth_inches,tributary_area_tc_min,total_volume_cuft,area_sqft,inf_rate_inhr,retention_volume_cuft,media_filtration_rate_inhr,hsg,minimum_retention_pct_override,treatment_rate_cfs,depth_ft,captured_pct,retained_pct
219,SWFA-100253,SWFA-100253,Bioretention,Gray Middle school,,,,,,Enhanced,bioretention_with_no_infiltration_simple,,,,,,,,,,,,91,0
220,SWFA-100254,SWFA-100254,Bioretention,Gray Middle school,,,,,,Enhanced,bioretention_with_no_infiltration_simple,,,,,,,,,,,,91,0
221,SWFA-100255,SWFA-100255,Bioretention,Gray Middle school,,,,,,Enhanced,bioretention_with_no_infiltration_simple,,,,,,,,,,,,91,0
222,SWFA-100256,SWFA-100256,Bioretention,Gray Middle school,,,,,,Enhanced,bioretention_with_no_infiltration_simple,,,,,,,,,,,,91,0
223,SWFA-100257,SWFA-100257,Bioretention,Gray Middle school,,,,,,Enhanced,bioretention_with_no_infiltration_simple,,,,,,,,,,,,91,0
224,SWFA-100258,SWFA-100258,Bioretention,Gray Middle school,,,,,,Enhanced,bioretention_with_no_infiltration_simple,,,,,,,,,,,,91,0
225,SWFA-100259,SWFA-100259,Bioretention,Gray Middle school,,,,,,Enhanced,bioretention_with_no_infiltration_simple,,,,,,,,,,,,91,0
226,SWFA-100260,SWFA-100260,Bioretention,Gray Middle school,,,,,,Enhanced,bioretention_with_no_infiltration_simple,,,,,,,,,,,,91,0
227,SWFA-100261,SWFA-100261,Bioretention,Gray Middle school,,,,,,Enhanced,bioretention_with_no_infiltration_simple,,,,,,,,,,,,91,0
228,SWFA-100262,SWFA-100262,Bioretention,Gray Middle school,,,,,,Enhanced,bioretention_with_no_infiltration_simple,,,,,,,,,,,,91,0
229,SWFA-100272,SWFA-100272,Bioretention,COT Asphalt Plant,,,,,,Basic,bioretention_with_no_infiltration_simple,,,,,,,,,,,,91,0
230,SWFA-100283,SWFA-100283,Swale,South Intermodal,,,,,,Basic,vegetated_swale_simple,,,,,,,,,,,,91,20
231,SWFA-100289,SWFA-100289,Swale,Central Police Substation,Biofiltration,,,,,Basic,vegetated_swale_simple,,,,,,,,,,,,91,20
232,SWFA-100294,SWFA-100294,Trench,Central Police Substation,Infiltration,,Full,,,Basic,infiltration_simple,,,,,,,,,,,,91,91
233,SWFA-100298,SWFA-100298,Swale,Truman Middle School,Biofiltration,,,,,Basic,vegetated_swale_simple,,,,,,,,,,,,91,20
234,SWFA-100300,SWFA-100300,Swale,Mann Elementary,Biofiltration,,,,,Basic,vegetated_swale_simple,,,,,,,,,,,,91,20
235,SWFA-100305,SWFA-100305,Bioretention,COT Solid Waste,,,,,,Enhanced,bioretention_with_no_infiltration_simple,,,,,,,,,,,,91,0
236,SWFA-100307,SWFA-100307,Swale,Coast Engine & Equipment,Biofiltration,,,,,Basic,vegetated_swale_simple,,,,,,,,,,,,91,20
237,SWFA-100313,SWFA-100313,Swale,Wilson High School,Biofiltration,,,,,Basic,vegetated_swale_simple,,,,,,,,,,,,91,20
238,SWFA-100314,SWFA-100314,Swale,Tacoma Firs,Biofiltration,,,,,Basic,vegetated_swale_simple,,,,,,,,,,,,91,20
239,SWFA-100315,SWFA-100315,Swale,Tacoma Firs,Biofiltration,,,,,Basic,vegetated_swale_simple,,,,,,,,,,,,91,20
240,SWFA-100316,SWFA-100316,Swale,TCC Info Center,Biofiltration,,,,,Basic,vegetated_swale_simple,,,,,,,,,,,,91,20
241,SWFA-100325,SWFA-100325,Swale,Bates Technical College - South Campus,Biofiltration,,,,,Basic,vegetated_swale_simple,,,,,,,,,,,,91,20
242,SWFA-100336,SWFA-100336,Swale,Tacoma Schools Gianudrone Middle School,Biofiltration,,,,,Basic,vegetated_swale_simple,,,,,,,,,,,,91,20
243,SWFA-100340,SWFA-100340,Holding Basin,"Hosmer Holding
HOSMER HOLDING BASIN
",,,,,IP,,no_treatment,,,,,,,,,,,,91,0
244,SWFA-100341,SWFA-100341,Holding Basin,Gravel Pit,,,,,Stream,,no_treatment,,,,,,,,,,,,91,0
245,SWFA-100342,SWFA-100342,Holding Basin,Wapato Lake,,,,,IP,,no_treatment,,,,,,,,,,,,91,0
246,SWFA-100343,SWFA-100343,Holding Basin,Flett Holding Pond 2,,,,,IP,,no_treatment,,,,,,,,,,,,91,0
