Tc_min,CutoffQ_cfs,Max_Inflow_cfs,Max_Depth_ft,Treated_mgal,Total_mgal,Capture_Efficiency_%,Flow_Balance_Error_%,flowrate_cfs,tc_minutes,intensity_inhr,capture_fraction
1.0,0.0,0.76,0.0,0.0,26.1,0.0,0.0,0.0,1,0.0,0.0
,,,,,,,,,1,0.0,0.0
1.0,0.005,0.76,0.0,5.11,26.1,19.578544061302683,0.0,0.005,1,0.011019239669465565,0.19578544061302683
1.0,0.01,0.76,0.0,8.49,26.1,32.52873563218391,0.0,0.01,1,0.02203847933893113,0.3252873563218391
1.0,0.015,0.76,0.0,11.2,26.1,42.91187739463601,0.0,0.015,1,0.03305771900839669,0.42911877394636005
1.0,0.02,0.76,0.0,13.3,26.1,50.95785440613027,0.0,0.02,1,0.04407695867786226,0.5095785440613027
1.0,0.025,0.76,0.0,15.2,26.1,58.2375478927203,0.0,0.025,1,0.055096198347327825,0.582375478927203
1.0,0.03,0.76,0.0,16.7,26.1,63.98467432950192,0.0,0.03,1,0.06611543801679338,0.6398467432950192
1.0,0.035,0.76,0.0,18.0,26.1,68.9655172413793,0.0,0.035,1,0.07713467768625895,0.689655172413793
1.0,0.04,0.76,0.0,19.1,26.1,73.1800766283525,0.0,0.04,1,0.08815391735572452,0.731800766283525
1.0,0.045,0.76,0.0,20.0,26.1,76.62835249042145,0.0,0.045,1,0.09917315702519007,0.7662835249042145
1.0,0.05,0.76,0.0,20.8,26.1,79.6934865900383,0.0,0.05,1,0.11019239669465565,0.7969348659003831
1.0,0.055,0.76,0.0,21.5,26.1,82.37547892720306,0.0,0.055,1,0.1212116363641212,0.8237547892720306
1.0,0.06,0.76,0.0,22.1,26.1,84.67432950191571,0.0,0.06,1,0.13223087603358677,0.8467432950191571
1.0,0.08,0.76,0.0,23.7,26.1,90.80459770114942,0.0,0.08,1,0.17630783471144904,0.9080459770114941
1.0,0.1,0.76,0.0,24.6,26.1,94.2528735632184,0.0,0.1,1,0.2203847933893113,0.942528735632184
1.0,0.12,0.76,0.0,25.2,26.1,96.55172413793105,0.0,0.12,1,0.26446175206717354,0.9655172413793105
1.0,0.14,0.76,0.0,25.5,26.1,97.70114942528735,0.0,0.14,1,0.3085387107450358,0.9770114942528736
1.0,0.16,0.76,0.0,25.7,26.1,98.46743295019157,0.0,0.16,1,0.35261566942289807,0.9846743295019157
1.0,0.18,0.76,0.0,25.8,26.1,98.85057471264368,0.0,0.18,1,0.3966926281007603,0.9885057471264368
1.0,0.2,0.76,0.0,25.9,26.1,99.23371647509578,0.0,0.2,1,0.4407695867786226,0.9923371647509578
1.0,0.22,0.76,0.0,26.0,26.1,99.61685823754787,0.0,0.22,1,0.4848465454564848,0.9961685823754788
1.0,0.24,0.76,0.0,26.0,26.1,99.61685823754787,0.0,0.24,1,0.5289235041343471,0.9961685823754788
1.0,0.26,0.76,0.0,26.0,26.1,99.61685823754787,0.0,0.26,1,0.5730004628122094,0.9961685823754788
1.0,0.28,0.76,0.0,26.0,26.1,99.61685823754787,0.0,0.28,1,0.6170774214900716,0.9961685823754788
1.0,0.3,0.76,0.0,26.1,26.1,100.0,0.0,0.3,1,0.6611543801679338,1.0
1.0,0.32,0.76,0.0,26.1,26.1,100.0,0.0,0.32,1,0.7052313388457961,1.0
1.0,0.34,0.76,0.0,26.1,26.1,100.0,0.0,0.34,1,0.7493082975236584,1.0
1.0,0.36,0.76,0.0,26.1,26.1,100.0,0.0,0.36,1,0.7933852562015206,1.0
1.0,0.38,0.76,0.0,26.1,26.1,100.0,0.0,0.38,1,0.8374622148793829,1.0
1.0,0.4,0.76,0.0,26.1,26.1,100.0,0.0,0.4,1,0.8815391735572452,1.0
1.0,0.45,0.76,0.0,26.1,26.1,100.0,0.0,0.45,1,0.9917315702519007,1.0
1.0,0.5,0.76,0.0,26.1,26.1,100.0,0.0,0.5,1,1.1019239669465564,1.0
1.0,0.55,0.76,0.0,26.1,26.1,100.0,0.0,0.55,1,1.212116363641212,1.0
1.0,0.6,0.76,0.0,26.1,26.1,100.0,0.0,0.6,1,1.3223087603358676,1.0
1.0,0.65,0.76,0.0,26.1,26.1,100.0,0.0,0.65,1,1.4325011570305233,1.0
1.0,0.7,0.76,0.0,26.1,26.1,100.0,0.0,0.7,1,1.5426935537251787,1.0
1.0,0.75,0.76,0.0,26.1,26.1,100.0,0.0,0.75,1,1.6528859504198343,1.0
1.0,0.8,0.76,0.0,26.1,26.1,100.0,0.0,0.8,1,1.7630783471144904,1.0
1.0,0.85,0.76,0.0,26.1,26.1,100.0,0.0,0.85,1,1.8732707438091458,1.0
1.0,0.9,0.76,0.0,26.1,26.1,100.0,0.0,0.9,1,1.9834631405038015,1.0
1.0,0.95,0.76,0.0,26.1,26.1,100.0,0.0,0.95,1,2.0936555371984573,1.0
1.0,1.0,0.76,0.0,26.1,26.1,100.0,0.0,1.0,1,2.2038479338931127,1.0
5.0,0.0,0.76,0.0,0.0,25.9,0.0,0.0,0.0,5,0.0,0.0
,,,,,,,,,5,0.0,0.0
5.0,0.005,0.76,0.0,5.4,25.9,20.84942084942085,0.0,0.005,5,0.011019239669465565,0.2084942084942085
5.0,0.01,0.76,0.0,8.9,25.9,34.36293436293437,0.0,0.01,5,0.02203847933893113,0.34362934362934366
5.0,0.015,0.76,0.0,11.6,25.9,44.78764478764479,0.0,0.015,5,0.03305771900839669,0.44787644787644787
5.0,0.02,0.76,0.0,13.8,25.9,53.28185328185329,0.0,0.02,5,0.04407695867786226,0.5328185328185329
5.0,0.025,0.76,0.0,15.6,25.9,60.23166023166024,0.0,0.025,5,0.055096198347327825,0.6023166023166024
5.0,0.03,0.76,0.0,17.1,25.9,66.02316602316604,0.0,0.03,5,0.06611543801679338,0.6602316602316605
5.0,0.035,0.76,0.0,18.3,25.9,70.65637065637065,0.0,0.035,5,0.07713467768625895,0.7065637065637066
5.0,0.04,0.76,0.0,19.4,25.9,74.9034749034749,0.0,0.04,5,0.08815391735572452,0.749034749034749
5.0,0.045,0.76,0.0,20.3,25.9,78.37837837837839,0.0,0.045,5,0.09917315702519007,0.7837837837837839
5.0,0.05,0.76,0.0,21.0,25.9,81.08108108108108,0.0,0.05,5,0.11019239669465565,0.8108108108108109
5.0,0.055,0.76,0.0,21.7,25.9,83.78378378378379,0.0,0.055,5,0.1212116363641212,0.8378378378378379
5.0,0.06,0.76,0.0,22.2,25.9,85.71428571428572,0.0,0.06,5,0.13223087603358677,0.8571428571428572
5.0,0.08,0.76,0.0,23.7,25.9,91.5057915057915,0.0,0.08,5,0.17630783471144904,0.9150579150579151
5.0,0.1,0.76,0.0,24.6,25.9,94.980694980695,0.0,0.1,5,0.2203847933893113,0.94980694980695
5.0,0.12,0.76,0.0,25.1,25.9,96.91119691119692,0.0,0.12,5,0.26446175206717354,0.9691119691119693
5.0,0.14,0.76,0.0,25.4,25.9,98.06949806949808,0.0,0.14,5,0.3085387107450358,0.9806949806949808
5.0,0.16,0.76,0.0,25.5,25.9,98.45559845559846,0.0,0.16,5,0.35261566942289807,0.9845559845559846
5.0,0.18,0.76,0.0,25.7,25.9,99.22779922779922,0.0,0.18,5,0.3966926281007603,0.9922779922779923
5.0,0.2,0.76,0.0,25.7,25.9,99.22779922779922,0.0,0.2,5,0.4407695867786226,0.9922779922779923
5.0,0.22,0.76,0.0,25.8,25.9,99.61389961389962,0.0,0.22,5,0.4848465454564848,0.9961389961389961
5.0,0.24,0.76,0.0,25.8,25.9,99.61389961389962,0.0,0.24,5,0.5289235041343471,0.9961389961389961
5.0,0.26,0.76,0.0,25.8,25.9,99.61389961389962,0.0,0.26,5,0.5730004628122094,0.9961389961389961
5.0,0.28,0.76,0.0,25.9,25.9,100.0,0.0,0.28,5,0.6170774214900716,1.0
5.0,0.3,0.76,0.0,25.9,25.9,100.0,0.0,0.3,5,0.6611543801679338,1.0
5.0,0.32,0.76,0.0,25.9,25.9,100.0,0.0,0.32,5,0.7052313388457961,1.0
5.0,0.34,0.76,0.0,25.9,25.9,100.0,0.0,0.34,5,0.7493082975236584,1.0
5.0,0.36,0.76,0.0,25.9,25.9,100.0,0.0,0.36,5,0.7933852562015206,1.0
5.0,0.38,0.76,0.0,25.9,25.9,100.0,0.0,0.38,5,0.8374622148793829,1.0
5.0,0.4,0.76,0.0,25.9,25.9,100.0,0.0,0.4,5,0.8815391735572452,1.0
