Tc_min,CutoffQ_cfs,Max_Inflow_cfs,Max_Depth_ft,Treated_mgal,Total_mgal,Capture_Efficiency_%,Flow_Balance_Error_%,flowrate_cfs,tc_minutes,intensity_inhr,capture_fraction
1.0,0.0,0.71,0.0,0.0,28.4,0.0,0.0,0.0,1,0.0,0.0
,,,,,,,,,1,0.0,0.0
1.0,0.005,0.71,0.0,4.75,28.4,16.725352112676056,0.0,0.005,1,0.009819124457939612,0.16725352112676056
1.0,0.01,0.71,0.0,7.97,28.4,28.063380281690144,0.0,0.01,1,0.019638248915879224,0.2806338028169014
1.0,0.015,0.71,0.0,10.6,28.4,37.32394366197183,0.0,0.015,1,0.029457373373818832,0.3732394366197183
1.0,0.02,0.71,0.0,12.7,28.4,44.71830985915493,0.0,0.02,1,0.03927649783175845,0.44718309859154926
1.0,0.025,0.71,0.0,14.5,28.4,51.056338028169016,0.0,0.025,1,0.049095622289698056,0.5105633802816901
1.0,0.03,0.71,0.0,16.1,28.4,56.69014084507044,0.0,0.03,1,0.058914746747637664,0.5669014084507044
1.0,0.035,0.71,0.0,17.4,28.4,61.267605633802816,0.0,0.035,1,0.06873387120557728,0.6126760563380281
1.0,0.04,0.71,0.0,18.6,28.4,65.49295774647888,0.0,0.04,1,0.0785529956635169,0.6549295774647887
1.0,0.045,0.71,0.0,19.6,28.4,69.01408450704226,0.0,0.045,1,0.0883721201214565,0.6901408450704225
1.0,0.05,0.71,0.0,20.5,28.4,72.1830985915493,0.0,0.05,1,0.09819124457939611,0.721830985915493
1.0,0.055,0.71,0.0,21.3,28.4,75.00000000000001,0.0,0.055,1,0.10801036903733573,0.7500000000000001
1.0,0.06,0.71,0.0,22.0,28.4,77.46478873239437,0.0,0.06,1,0.11782949349527533,0.7746478873239436
1.0,0.08,0.71,0.0,24.1,28.4,84.85915492957747,0.0,0.08,1,0.1571059913270338,0.8485915492957747
1.0,0.1,0.71,0.0,25.4,28.4,89.43661971830986,0.0,0.1,1,0.19638248915879222,0.8943661971830985
1.0,0.12,0.71,0.0,26.3,28.4,92.60563380281693,0.0,0.12,1,0.23565898699055066,0.9260563380281692
1.0,0.14,0.71,0.0,26.8,28.4,94.3661971830986,0.0,0.14,1,0.2749354848223091,0.9436619718309861
1.0,0.16,0.71,0.0,27.2,28.4,95.77464788732397,0.0,0.16,1,0.3142119826540676,0.9577464788732396
1.0,0.18,0.71,0.0,27.5,28.4,96.83098591549296,0.0,0.18,1,0.353488480485826,0.9683098591549296
1.0,0.2,0.71,0.0,27.7,28.4,97.53521126760565,0.0,0.2,1,0.39276497831758445,0.9753521126760565
1.0,0.22,0.71,0.0,27.9,28.4,98.23943661971832,0.0,0.22,1,0.4320414761493429,0.9823943661971832
1.0,0.24,0.71,0.0,28.0,28.4,98.59154929577466,0.0,0.24,1,0.4713179739811013,0.9859154929577465
1.0,0.26,0.71,0.0,28.1,28.4,98.943661971831,0.0,0.26,1,0.5105944718128598,0.9894366197183101
1.0,0.28,0.71,0.0,28.1,28.4,98.943661971831,0.0,0.28,1,0.5498709696446182,0.9894366197183101
1.0,0.3,0.71,0.0,28.2,28.4,99.29577464788731,0.0,0.3,1,0.5891474674763767,0.9929577464788731
1.0,0.32,0.71,0.0,28.2,28.4,99.29577464788731,0.0,0.32,1,0.6284239653081352,0.9929577464788731
1.0,0.34,0.71,0.0,28.3,28.4,99.64788732394368,0.0,0.34,1,0.6677004631398936,0.9964788732394367
1.0,0.36,0.71,0.0,28.3,28.4,99.64788732394368,0.0,0.36,1,0.706976960971652,0.9964788732394367
