Tc_min,CutoffQ_cfs,Max_Inflow_cfs,Max_Depth_ft,Treated_mgal,Total_mgal,Capture_Efficiency_%,Flow_Balance_Error_%,flowrate_cfs,tc_minutes,intensity_inhr,capture_fraction
1.0,0.0,0.64,0.0,0.0,35.4,0.0,0.0,0.0,1,0.0,0.0
,,,,,,,,,1,0.0,0.0
1.0,0.005,0.64,0.0,6.68,35.4,18.870056497175145,0.0,0.005,1,0.010595422759101504,0.18870056497175144
1.0,0.01,0.64,0.0,11.1,35.4,31.35593220338983,0.0,0.01,1,0.021190845518203008,0.3135593220338983
1.0,0.015,0.64,0.0,14.6,35.4,41.24293785310735,0.0,0.015,1,0.031786268277304505,0.4124293785310735
1.0,0.02,0.64,0.0,17.5,35.4,49.43502824858757,0.0,0.02,1,0.042381691036406016,0.4943502824858757
1.0,0.025,0.64,0.0,19.9,35.4,56.21468926553672,0.0,0.025,1,0.05297711379550751,0.5621468926553672
1.0,0.03,0.64,0.0,21.9,35.4,61.86440677966102,0.0,0.03,1,0.06357253655460901,0.6186440677966102
1.0,0.035,0.64,0.0,23.6,35.4,66.66666666666667,0.0,0.035,1,0.07416795931371052,0.6666666666666667
1.0,0.04,0.64,0.0,25.1,35.4,70.90395480225989,0.0,0.04,1,0.08476338207281203,0.7090395480225989
1.0,0.045,0.64,0.0,26.3,35.4,74.29378531073448,0.0,0.045,1,0.09535880483191353,0.7429378531073447
1.0,0.05,0.64,0.0,27.4,35.4,77.40112994350282,0.0,0.05,1,0.10595422759101503,0.7740112994350282
1.0,0.055,0.64,0.0,28.3,35.4,79.94350282485875,0.0,0.055,1,0.11654965035011654,0.7994350282485876
1.0,0.06,0.64,0.0,29.1,35.4,82.20338983050848,0.0,0.06,1,0.12714507310921802,0.8220338983050849
1.0,0.08,0.64,0.0,31.4,35.4,88.70056497175142,0.0,0.08,1,0.16952676414562406,0.8870056497175142
1.0,0.1,0.64,0.0,32.8,35.4,92.65536723163842,0.0,0.1,1,0.21190845518203005,0.9265536723163842
1.0,0.12,0.64,0.0,33.7,35.4,95.19774011299435,0.0,0.12,1,0.25429014621843604,0.9519774011299436
