Tc_min,CutoffQ_cfs,Max_Inflow_cfs,Max_Depth_ft,Treated_mgal,Total_mgal,Capture_Efficiency_%,Flow_Balance_Error_%
1,0.0,0.76,0.0,0.0,26.1,0.0,0.0
1,0.005,0.76,0.0,5.11,26.1,19.578544061302683,0.0
1,0.01,0.76,0.0,8.49,26.1,32.52873563218391,0.0
1,0.015,0.76,0.0,11.2,26.1,42.91187739463601,0.0
1,0.02,0.76,0.0,13.3,26.1,50.95785440613027,0.0
1,0.025,0.76,0.0,15.2,26.1,58.2375478927203,0.0
1,0.03,0.76,0.0,16.7,26.1,63.984674329501914,0.0
1,0.035,0.76,0.0,18.0,26.1,68.9655172413793,0.0
1,0.04,0.76,0.0,19.1,26.1,73.1800766283525,0.0
1,0.045,0.76,0.0,20.0,26.1,76.62835249042145,0.0
1,0.05,0.76,0.0,20.8,26.1,79.6934865900383,0.0
1,0.055,0.76,0.0,21.5,26.1,82.37547892720306,0.0
1,0.06,0.76,0.0,22.1,26.1,84.67432950191571,0.0
1,0.08,0.76,0.0,23.7,26.1,90.80459770114942,0.0
1,0.1,0.76,0.0,24.6,26.1,94.25287356321839,0.0
1,0.12,0.76,0.0,25.2,26.1,96.55172413793103,0.0
1,0.14,0.76,0.0,25.5,26.1,97.70114942528735,0.0
1,0.16,0.76,0.0,25.7,26.1,98.46743295019155,0.0
1,0.18,0.76,0.0,25.8,26.1,98.85057471264368,0.0
1,0.2,0.76,0.0,25.9,26.1,99.23371647509578,0.0
1,0.22,0.76,0.0,26.0,26.1,99.61685823754789,0.0
1,0.24,0.76,0.0,26.0,26.1,99.61685823754789,0.0
1,0.26,0.76,0.0,26.0,26.1,99.61685823754789,0.0
1,0.28,0.76,0.0,26.0,26.1,99.61685823754789,0.0
1,0.3,0.76,0.0,26.1,26.1,100.0,0.0
1,0.32,0.76,0.0,26.1,26.1,100.0,0.0
1,0.34,0.76,0.0,26.1,26.1,100.0,0.0
1,0.36,0.76,0.0,26.1,26.1,100.0,0.0
1,0.38,0.76,0.0,26.1,26.1,100.0,0.0
1,0.4,0.76,0.0,26.1,26.1,100.0,0.0
1,0.45,0.76,0.0,26.1,26.1,100.0,0.0
1,0.5,0.76,0.0,26.1,26.1,100.0,0.0
1,0.55,0.76,0.0,26.1,26.1,100.0,0.0
1,0.6,0.76,0.0,26.1,26.1,100.0,0.0
1,0.65,0.76,0.0,26.1,26.1,100.0,0.0
1,0.7,0.76,0.0,26.1,26.1,100.0,0.0
1,0.75,0.76,0.0,26.1,26.1,100.0,0.0
1,0.8,0.76,0.0,26.1,26.1,100.0,0.0
1,0.85,0.76,0.0,26.1,26.1,100.0,0.0
1,0.9,0.76,0.0,26.1,26.1,100.0,0.0
1,0.95,0.76,0.0,26.1,26.1,100.0,0.0
1,1.0,0.76,0.0,26.1,26.1,100.0,0.0
5,0.0,0.76,0.0,0.0,25.9,0.0,0.0
5,0.005,0.76,0.0,5.4,25.9,20.849420849420852,0.0
5,0.01,0.76,0.0,8.9,25.9,34.36293436293437,0.0
5,0.015,0.76,0.0,11.6,25.9,44.78764478764479,0.0
5,0.02,0.76,0.0,13.8,25.9,53.28185328185329,0.0
5,0.025,0.76,0.0,15.6,25.9,60.231660231660236,0.0
5,0.03,0.76,0.0,17.1,25.9,66.02316602316604,0.0
5,0.035,0.76,0.0,18.3,25.9,70.65637065637065,0.0
5,0.04,0.76,0.0,19.4,25.9,74.9034749034749,0.0
5,0.045,0.76,0.0,20.3,25.9,78.37837837837839,0.0
5,0.05,0.76,0.0,21.0,25.9,81.08108108108108,0.0
5,0.055,0.76,0.0,21.7,25.9,83.78378378378379,0.0
5,0.06,0.76,0.0,22.2,25.9,85.71428571428572,0.0
5,0.08,0.76,0.0,23.7,25.9,91.5057915057915,0.0
5,0.1,0.76,0.0,24.6,25.9,94.98069498069499,0.0
5,0.12,0.76,0.0,25.1,25.9,96.91119691119692,0.0
5,0.14,0.76,0.0,25.4,25.9,98.06949806949807,0.0
5,0.16,0.76,0.0,25.5,25.9,98.45559845559846,0.0
5,0.18,0.76,0.0,25.7,25.9,99.22779922779922,0.0
5,0.2,0.76,0.0,25.7,25.9,99.22779922779922,0.0
5,0.22,0.76,0.0,25.8,25.9,99.61389961389962,0.0
5,0.24,0.76,0.0,25.8,25.9,99.61389961389962,0.0
5,0.26,0.76,0.0,25.8,25.9,99.61389961389962,0.0
5,0.28,0.76,0.0,25.9,25.9,100.0,0.0
5,0.3,0.76,0.0,25.9,25.9,100.0,0.0
5,0.32,0.76,0.0,25.9,25.9,100.0,0.0
5,0.34,0.76,0.0,25.9,25.9,100.0,0.0
5,0.36,0.76,0.0,25.9,25.9,100.0,0.0
5,0.38,0.76,0.0,25.9,25.9,100.0,0.0
5,0.4,0.76,0.0,25.9,25.9,100.0,0.0
5,0.45,0.76,0.0,25.9,25.9,100.0,0.0
5,0.5,0.76,0.0,25.9,25.9,100.0,0.0
5,0.55,0.76,0.0,25.9,25.9,100.0,0.0
5,0.6,0.76,0.0,25.9,25.9,100.0,0.0
5,0.65,0.76,0.0,25.9,25.9,100.0,0.0
5,0.7,0.76,0.0,25.9,25.9,100.0,0.0
5,0.75,0.76,0.0,25.9,25.9,100.0,0.0
5,0.8,0.76,0.0,25.9,25.9,100.0,0.0
5,0.85,0.76,0.0,25.9,25.9,100.0,0.0
