Tc_min,CutoffQ_cfs,Max_Inflow_cfs,Max_Depth_ft,Treated_mgal,Total_mgal,Capture_Efficiency_%,Flow_Balance_Error_%
1,0.0,1.04,0.0,0.0,30.1,0.0,0.0
1,0.005,1.04,0.0,5.15,30.1,17.109634551495017,0.0
1,0.01,1.04,0.0,8.65,30.1,28.737541528239202,0.0
1,0.015,1.04,0.0,11.5,30.1,38.205980066445186,0.0
1,0.02,1.04,0.0,13.8,30.1,45.84717607973422,0.0
1,0.025,1.04,0.0,15.7,30.1,52.159468438538205,0.0
1,0.03,1.04,0.0,17.4,30.1,57.807308970099655,0.0
1,0.035,1.04,0.0,18.8,30.1,62.45847176079734,0.0
1,0.04,1.04,0.0,20.1,30.1,66.77740863787376,0.0
1,0.045,1.04,0.0,21.1,30.1,70.09966777408638,0.0
1,0.05,1.04,0.0,22.0,30.1,73.08970099667775,0.0
1,0.055,1.04,0.0,22.9,30.1,76.07973421926908,0.0
1,0.06,1.04,0.0,23.6,30.1,78.40531561461795,0.0
1,0.08,1.04,0.0,25.7,30.1,85.38205980066445,0.0
1,0.1,1.04,0.0,27.1,30.1,90.03322259136213,0.0
1,0.12,1.04,0.0,27.9,30.1,92.69102990033221,0.0
1,0.14,1.04,0.0,28.5,30.1,94.6843853820598,0.0
1,0.16,1.04,0.0,28.9,30.1,96.01328903654485,0.0
1,0.18,1.04,0.0,29.2,30.1,97.00996677740864,0.0
1,0.2,1.04,0.0,29.4,30.1,97.67441860465115,0.0
1,0.22,1.04,0.0,29.5,30.1,98.00664451827242,0.0
1,0.24,1.04,0.0,29.6,30.1,98.33887043189368,0.0
1,0.26,1.04,0.0,29.7,30.1,98.67109634551494,0.0
1,0.28,1.04,0.0,29.8,30.1,99.00332225913621,0.0
1,0.3,1.04,0.0,29.8,30.1,99.00332225913621,0.0
1,0.32,1.04,0.0,29.9,30.1,99.33554817275747,0.0
1,0.34,1.04,0.0,29.9,30.1,99.33554817275747,0.0
1,0.36,1.04,0.0,29.9,30.1,99.33554817275747,0.0
1,0.38,1.04,0.0,30.0,30.1,99.66777408637874,0.0
1,0.4,1.04,0.0,30.0,30.1,99.66777408637874,0.0
1,0.45,1.04,0.0,30.0,30.1,99.66777408637874,0.0
1,0.5,1.04,0.0,30.0,30.1,99.66777408637874,0.0
1,0.55,1.04,0.0,30.0,30.1,99.66777408637874,0.0
1,0.6,1.04,0.0,30.0,30.1,99.66777408637874,0.0
1,0.65,1.04,0.0,30.0,30.1,99.66777408637874,0.0
1,0.7,1.04,0.0,30.0,30.1,99.66777408637874,0.0
1,0.75,1.04,0.0,30.0,30.1,99.66777408637874,0.0
1,0.8,1.04,0.0,30.1,30.1,100.0,0.0
1,0.85,1.04,0.0,30.1,30.1,100.0,0.0
1,0.9,1.04,0.0,30.1,30.1,100.0,0.0
1,0.95,1.04,0.0,30.1,30.1,100.0,0.0
1,1.0,1.04,0.0,30.1,30.1,100.0,0.0
5,0.0,1.04,0.0,0.0,29.9,0.0,0.0
5,0.005,1.04,0.0,5.45,29.9,18.22742474916388,0.0
5,0.01,1.04,0.0,9.08,29.9,30.367892976588628,0.0
5,0.015,1.04,0.0,11.9,29.9,39.79933110367893,0.0
5,0.02,1.04,0.0,14.2,29.9,47.491638795986624,0.0
5,0.025,1.04,0.0,16.2,29.9,54.18060200668896,0.0
5,0.03,1.04,0.0,17.8,29.9,59.53177257525084,0.0
5,0.035,1.04,0.0,19.2,29.9,64.21404682274247,0.0
5,0.04,1.04,0.0,20.4,29.9,68.22742474916387,0.0
5,0.045,1.04,0.0,21.4,29.9,71.57190635451505,0.0
5,0.05,1.04,0.0,22.3,29.9,74.58193979933111,0.0
5,0.055,1.04,0.0,23.1,29.9,77.25752508361204,0.0
5,0.06,1.04,0.0,23.8,29.9,79.59866220735786,0.0
5,0.08,1.04,0.0,25.8,29.9,86.28762541806022,0.0
5,0.1,1.04,0.0,27.1,29.9,90.63545150501673,0.0
5,0.12,1.04,0.0,27.9,29.9,93.31103678929766,0.0
5,0.14,1.04,0.0,28.4,29.9,94.98327759197325,0.0
5,0.16,1.04,0.0,28.8,29.9,96.32107023411372,0.0
5,0.18,1.04,0.0,29.0,29.9,96.98996655518395,0.0
5,0.2,1.04,0.0,29.2,29.9,97.65886287625418,0.0
5,0.22,1.04,0.0,29.3,29.9,97.99331103678931,0.0
5,0.24,1.04,0.0,29.5,29.9,98.66220735785953,0.0
5,0.26,1.04,0.0,29.5,29.9,98.66220735785953,0.0
5,0.28,1.04,0.0,29.6,29.9,98.99665551839466,0.0
5,0.3,1.04,0.0,29.6,29.9,98.99665551839466,0.0
5,0.32,1.04,0.0,29.7,29.9,99.33110367892976,0.0
5,0.34,1.04,0.0,29.7,29.9,99.33110367892976,0.0
5,0.36,1.04,0.0,29.8,29.9,99.6655518394649,0.0
5,0.38,1.04,0.0,29.8,29.9,99.6655518394649,0.0
5,0.4,1.04,0.0,29.8,29.9,99.6655518394649,0.0
5,0.45,1.04,0.0,29.8,29.9,99.6655518394649,0.0
5,0.5,1.04,0.0,29.8,29.9,99.6655518394649,0.0
5,0.55,1.04,0.0,29.8,29.9,99.6655518394649,0.0
5,0.6,1.04,0.0,29.9,29.9,100.0,0.0
5,0.65,1.04,0.0,29.9,29.9,100.0,0.0
5,0.7,1.04,0.0,29.9,29.9,100.0,0.0
5,0.75,1.04,0.0,29.9,29.9,100.0,0.0
5,0.8,1.04,0.0,29.9,29.9,100.0,0.0
5,0.85,1.04,0.0,29.9,29.9,100.0,0.0
5,0.9,1.04,0.0,29.9,29.9,100.0,0.0
5,0.95,1.04,0.0,29.9,29.9,100.0,0.0
5,1.0,1.04,0.0,29.9,29.9,100.0,0.0
10,0.0,1.04,0.0,0.0,29.7,0.0,0.0
10,0.005,1.04,0.0,5.71,29.7,19.225589225589225,0.0
10,0.01,1.04,0.0,9.46,29.7,31.851851851851855,0.0
10,0.015,1.04,0.0,12.4,29.7,41.75084175084176,0.0
10,0.02,1.04,0.0,14.7,29.7,49.494949494949495,0.0
10,0.025,1.04,0.0,16.6,29.7,55.892255892255896,0.0
10,0.03,1.04,0.0,18.2,29.7,61.27946127946128,0.0
10,0.035,1.04,0.0,19.6,29.7,65.99326599326601,0.0
10,0.04,1.04,0.0,20.7,29.7,69.6969696969697,0.0
10,0.045,1.04,0.0,21.7,29.7,73.06397306397307,0.0
10,0.05,1.04,0.0,22.6,29.7,76.0942760942761,0.0
10,0.055,1.04,0.0,23.3,29.7,78.45117845117846,0.0
10,0.06,1.04,0.0,24.0,29.7,80.8080808080808,0.0
10,0.08,1.04,0.0,25.9,29.7,87.20538720538721,0.0
10,0.1,1.04,0.0,27.1,29.7,91.24579124579125,0.0
10,0.12,1.04,0.0,27.9,29.7,93.93939393939394,0.0
10,0.14,1.04,0.0,28.4,29.7,95.62289562289563,0.0
10,0.16,1.04,0.0,28.7,29.7,96.63299663299664,0.0
10,0.18,1.04,0.0,29.0,29.7,97.64309764309765,0.0
10,0.2,1.04,0.0,29.1,29.7,97.979797979798,0.0
10,0.22,1.04,0.0,29.2,29.7,98.31649831649831,0.0
10,0.24,1.04,0.0,29.3,29.7,98.65319865319866,0.0
10,0.26,1.04,0.0,29.4,29.7,98.98989898989899,0.0
10,0.28,1.04,0.0,29.5,29.7,99.32659932659934,0.0
10,0.3,1.04,0.0,29.5,29.7,99.32659932659934,0.0
10,0.32,1.04,0.0,29.6,29.7,99.66329966329968,0.0
10,0.34,1.04,0.0,29.6,29.7,99.66329966329968,0.0
10,0.36,1.04,0.0,29.6,29.7,99.66329966329968,0.0
10,0.38,1.04,0.0,29.6,29.7,99.66329966329968,0.0
10,0.4,1.04,0.0,29.6,29.7,99.66329966329968,0.0
10,0.45,1.04,0.0,29.7,29.7,100.0,0.0
10,0.5,1.04,0.0,29.7,29.7,100.0,0.0
10,0.55,1.04,0.0,29.7,29.7,100.0,0.0
10,0.6,1.04,0.0,29.7,29.7,100.0,0.0
10,0.65,1.04,0.0,29.7,29.7,100.0,0.0
10,0.7,1.04,0.0,29.7,29.7,100.0,0.0
10,0.75,1.04,0.0,29.7,29.7,100.0,0.0
10,0.8,1.04,0.0,29.7,29.7,100.0,0.0
10,0.85,1.04,0.0,29.7,29.7,100.0,0.0
10,0.9,1.04,0.0,29.7,29.7,100.0,0.0
10,0.95,1.04,0.0,29.7,29.7,100.0,0.0
10,1.0,1.04,0.0,29.7,29.7,100.0,0.0
20,0.0,1.03,0.0,0.0,29.5,0.0,0.0
20,0.005,1.03,0.0,6.12,29.5,20.74576271186441,0.0
