Tc_min,CutoffQ_cfs,Max_Inflow_cfs,Max_Depth_ft,Treated_mgal,Total_mgal,Capture_Efficiency_%,Flow_Balance_Error_%
1,0.0,0.71,0.0,0.0,28.4,0.0,0.0
1,0.005,0.71,0.0,4.75,28.4,16.725352112676056,0.0
1,0.01,0.71,0.0,7.97,28.4,28.063380281690144,0.0
1,0.015,0.71,0.0,10.6,28.4,37.32394366197183,0.0
1,0.02,0.71,0.0,12.7,28.4,44.71830985915493,0.0
1,0.025,0.71,0.0,14.5,28.4,51.056338028169016,0.0
1,0.03,0.71,0.0,16.1,28.4,56.69014084507044,0.0
1,0.035,0.71,0.0,17.4,28.4,61.267605633802816,0.0
1,0.04,0.71,0.0,18.6,28.4,65.49295774647888,0.0
1,0.045,0.71,0.0,19.6,28.4,69.01408450704226,0.0
1,0.05,0.71,0.0,20.5,28.4,72.1830985915493,0.0
1,0.055,0.71,0.0,21.3,28.4,75.00000000000001,0.0
1,0.06,0.71,0.0,22.0,28.4,77.46478873239437,0.0
1,0.08,0.71,0.0,24.1,28.4,84.85915492957747,0.0
1,0.1,0.71,0.0,25.4,28.4,89.43661971830986,0.0
1,0.12,0.71,0.0,26.3,28.4,92.60563380281691,0.0
1,0.14,0.71,0.0,26.8,28.4,94.36619718309859,0.0
1,0.16,0.71,0.0,27.2,28.4,95.77464788732395,0.0
1,0.18,0.71,0.0,27.5,28.4,96.83098591549296,0.0
1,0.2,0.71,0.0,27.7,28.4,97.53521126760563,0.0
1,0.22,0.71,0.0,27.9,28.4,98.23943661971832,0.0
1,0.24,0.71,0.0,28.0,28.4,98.59154929577466,0.0
1,0.26,0.71,0.0,28.1,28.4,98.943661971831,0.0
1,0.28,0.71,0.0,28.1,28.4,98.943661971831,0.0
1,0.3,0.71,0.0,28.2,28.4,99.29577464788733,0.0
1,0.32,0.71,0.0,28.2,28.4,99.29577464788733,0.0
1,0.34,0.71,0.0,28.3,28.4,99.64788732394368,0.0
1,0.36,0.71,0.0,28.3,28.4,99.64788732394368,0.0
1,0.38,0.71,0.0,28.3,28.4,99.64788732394368,0.0
1,0.4,0.71,0.0,28.4,28.4,100.0,0.0
1,0.45,0.71,0.0,28.4,28.4,100.0,0.0
1,0.5,0.71,0.0,28.4,28.4,100.0,0.0
1,0.55,0.71,0.0,28.4,28.4,100.0,0.0
1,0.6,0.71,0.0,28.4,28.4,100.0,0.0
1,0.65,0.71,0.0,28.4,28.4,100.0,0.0
1,0.7,0.71,0.0,28.4,28.4,100.0,0.0
1,0.75,0.71,0.0,28.4,28.4,100.0,0.0
1,0.8,0.71,0.0,28.4,28.4,100.0,0.0
1,0.85,0.71,0.0,28.4,28.4,100.0,0.0
