Tc_min,CutoffQ_cfs,Max_Inflow_cfs,Max_Depth_ft,Treated_mgal,Total_mgal,Capture_Efficiency_%,Flow_Balance_Error_%
10,0.055,0.64,0.0,28.8,35.0,82.28571428571428,0.0
10,0.06,0.64,0.0,29.6,35.0,84.57142857142857,0.0
10,0.08,0.64,0.0,31.6,35.0,90.28571428571429,0.0
10,0.1,0.64,0.0,32.8,35.0,93.71428571428571,0.0
10,0.12,0.64,0.0,33.5,35.0,95.71428571428572,0.0
10,0.14,0.64,0.0,34.0,35.0,97.14285714285714,0.0
10,0.16,0.64,0.0,34.3,35.0,97.99999999999999,0.0
10,0.18,0.64,0.0,34.5,35.0,98.57142857142858,0.0
10,0.2,0.64,0.0,34.6,35.0,98.85714285714286,0.0
10,0.22,0.64,0.0,34.7,35.0,99.14285714285715,0.0
10,0.24,0.64,0.0,34.8,35.0,99.42857142857142,0.0
10,0.26,0.64,0.0,34.8,35.0,99.42857142857142,0.0
10,0.28,0.64,0.0,34.9,35.0,99.71428571428571,0.0
10,0.3,0.64,0.0,34.9,35.0,99.71428571428571,0.0
10,0.32,0.64,0.0,34.9,35.0,99.71428571428571,0.0
10,0.34,0.64,0.0,34.9,35.0,99.71428571428571,0.0
10,0.36,0.64,0.0,34.9,35.0,99.71428571428571,0.0
10,0.38,0.64,0.0,34.9,35.0,99.71428571428571,0.0
10,0.4,0.64,0.0,34.9,35.0,99.71428571428571,0.0
10,0.45,0.64,0.0,34.9,35.0,99.71428571428571,0.0
10,0.5,0.64,0.0,35.0,35.0,100.0,0.0
10,0.55,0.64,0.0,35.0,35.0,100.0,0.0
10,0.6,0.64,0.0,35.0,35.0,100.0,0.0
10,0.65,0.64,0.0,35,35,100.0,0.0
10,0.7,0.64,0.0,35,35,100.0,0.0
10,0.75,0.64,0.0,35,35,100.0,0.0
10,0.8,0.64,0.0,35,35,100.0,0.0
10,0.85,0.64,0.0,35,35,100.0,0.0
10,0.9,0.64,0.0,35,35,100.0,0.0
10,0.95,0.64,0.0,35,35,100.0,0.0
10,1.0,0.64,0.0,35,35,100.0,0.0
20,0.0,0.64,0.0,0.0,34.7,0.0,0.0
20,0.005,0.64,0.0,7.94,34.7,22.881844380403457,0.0
20,0.01,0.64,0.0,12.9,34.7,37.175792507204605,0.0
20,0.015,0.64,0.0,16.6,34.7,47.83861671469741,0.0
20,0.02,0.64,0.0,19.4,34.7,55.90778097982708,0.0
20,0.025,0.64,0.0,21.7,34.7,62.53602305475504,0.0
20,0.03,0.64,0.0,23.6,34.7,68.0115273775216,0.0
20,0.035,0.64,0.0,25.2,34.7,72.62247838616715,0.0
20,0.04,0.64,0.0,26.5,34.7,76.36887608069163,0.0
20,0.045,0.64,0.0,27.5,34.7,79.25072046109509,0.0
20,0.05,0.64,0.0,28.5,34.7,82.13256484149855,0.0
20,0.055,0.64,0.0,29.2,34.7,84.14985590778097,0.0
20,0.06,0.64,0.0,29.9,34.7,86.16714697406339,0.0
20,0.08,0.64,0.0,31.7,34.7,91.35446685878962,0.0
20,0.1,0.64,0.0,32.8,34.7,94.52449567723342,0.0
20,0.12,0.64,0.0,33.4,34.7,96.2536023054755,0.0
20,0.14,0.64,0.0,33.8,34.7,97.40634005763688,0.0
20,0.16,0.64,0.0,34.1,34.7,98.27089337175792,0.0
20,0.18,0.64,0.0,34.3,34.7,98.8472622478386,0.0
20,0.2,0.64,0.0,34.4,34.7,99.13544668587895,0.0
20,0.22,0.64,0.0,34.5,34.7,99.4236311239193,0.0
20,0.24,0.64,0.0,34.5,34.7,99.4236311239193,0.0
20,0.26,0.64,0.0,34.5,34.7,99.4236311239193,0.0
20,0.28,0.64,0.0,34.6,34.7,99.71181556195965,0.0
20,0.3,0.64,0.0,34.6,34.7,99.71181556195965,0.0
20,0.32,0.64,0.0,34.6,34.7,99.71181556195965,0.0
20,0.34,0.64,0.0,34.6,34.7,99.71181556195965,0.0
20,0.36,0.64,0.0,34.6,34.7,99.71181556195965,0.0
20,0.38,0.64,0.0,34.6,34.7,99.71181556195965,0.0
20,0.4,0.64,0.0,34.6,34.7,99.71181556195965,0.0
20,0.45,0.64,0.0,34.7,34.7,100.0,0.0
20,0.5,0.64,0.0,34.7,34.7,100.0,0.0
20,0.55,0.64,0.0,34.7,34.7,100.0,0.0
20,0.6,0.64,0.0,34.7,34.7,100.0,0.0
20,0.65,0.64,0.0,34.7,34.7,100.0,0.0
20,0.7,0.64,0.0,34.7,34.7,100.0,0.0
20,0.75,0.64,0.0,34.7,34.7,100.0,0.0
20,0.8,0.64,0.0,34.7,34.7,100.0,0.0
20,0.85,0.64,0.0,34.7,34.7,100.0,0.0
20,0.9,0.64,0.0,34.7,34.7,100.0,0.0
20,0.95,0.64,0.0,34.7,34.7,100.0,0.0
20,1.0,0.64,0.0,34.7,34.7,100.0,0.0
30,0.0,0.63,0.0,0.0,34.4,0.0,0.0
30,0.005,0.63,0.0,8.35,34.4,24.273255813953487,0.0
30,0.01,0.63,0.0,13.5,34.4,39.24418604651163,0.0
30,0.015,0.63,0.0,17.2,34.4,50.0,0.0
30,0.02,0.63,0.0,20.1,34.4,58.43023255813954,0.0
30,0.025,0.63,0.0,22.3,34.4,64.82558139534885,0.0
30,0.03,0.63,0.0,24.2,34.4,70.34883720930233,0.0
30,0.035,0.63,0.0,25.7,34.4,74.70930232558139,0.0
30,0.04,0.63,0.0,26.9,34.4,78.19767441860465,0.0
30,0.045,0.63,0.0,27.9,34.4,81.1046511627907,0.0
30,0.05,0.63,0.0,28.8,34.4,83.72093023255815,0.0
30,0.055,0.63,0.0,29.5,34.4,85.75581395348838,0.0
30,0.06,0.63,0.0,30.1,34.4,87.50000000000001,0.0
30,0.08,0.63,0.0,31.8,34.4,92.44186046511629,0.0
30,0.1,0.63,0.0,32.8,34.4,95.34883720930232,0.0
30,0.12,0.63,0.0,33.4,34.4,97.09302325581395,0.0
30,0.14,0.63,0.0,33.7,34.4,97.96511627906978,0.0
30,0.16,0.63,0.0,33.9,34.4,98.54651162790698,0.0
30,0.18,0.63,0.0,34.1,34.4,99.1279069767442,0.0
30,0.2,0.63,0.0,34.2,34.4,99.4186046511628,0.0
30,0.22,0.63,0.0,34.3,34.4,99.70930232558139,0.0
30,0.24,0.63,0.0,34.3,34.4,99.70930232558139,0.0
30,0.26,0.63,0.0,34.3,34.4,99.70930232558139,0.0
30,0.28,0.63,0.0,34.4,34.4,100.0,0.0
30,0.3,0.63,0.0,34.4,34.4,100.0,0.0
30,0.32,0.63,0.0,34.4,34.4,100.0,0.0
30,0.34,0.63,0.0,34.4,34.4,100.0,0.0
30,0.36,0.63,0.0,34.4,34.4,100.0,0.0
30,0.38,0.63,0.0,34.4,34.4,100.0,0.0
30,0.4,0.63,0.0,34.4,34.4,100.0,0.0
30,0.45,0.63,0.0,34.4,34.4,100.0,0.0
30,0.5,0.63,0.0,34.4,34.4,100.0,0.0
30,0.55,0.63,0.0,34.4,34.4,100.0,0.0
30,0.6,0.63,0.0,34.4,34.4,100.0,0.0
30,0.65,0.63,0.0,34.4,34.4,100.0,0.0
30,0.7,0.63,0.0,34.4,34.4,100.0,0.0
30,0.75,0.63,0.0,34.4,34.4,100.0,0.0
30,0.8,0.63,0.0,34.4,34.4,100.0,0.0
30,0.85,0.63,0.0,34.4,34.4,100.0,0.0
30,0.9,0.63,0.0,34.4,34.4,100.0,0.0
30,0.95,0.63,0.0,34.4,34.4,100.0,0.0
30,1.0,0.63,0.0,34.4,34.4,100.0,0.0
60,0.0,0.6,0.0,0.0,33.9,0.0,0.0
60,0.005,0.6,0.0,9.23,33.9,27.22713864306785,0.0
60,0.01,0.6,0.0,14.7,33.9,43.36283185840708,0.0
60,0.015,0.6,0.0,18.5,33.9,54.572271386430685,0.0
60,0.02,0.6,0.0,21.4,33.9,63.12684365781711,0.0
60,0.025,0.6,0.0,23.5,33.9,69.32153392330383,0.0
60,0.03,0.6,0.0,25.3,33.9,74.63126843657818,0.0
60,0.035,0.6,0.0,26.6,33.9,78.4660766961652,0.0
60,0.04,0.6,0.0,27.7,33.9,81.71091445427729,0.0
60,0.045,0.6,0.0,28.6,33.9,84.36578171091446,0.0
60,0.05,0.6,0.0,29.4,33.9,86.72566371681415,0.0
60,0.055,0.6,0.0,30.0,33.9,88.49557522123894,0.0
60,0.06,0.6,0.0,30.5,33.9,89.97050147492625,0.0
60,0.08,0.6,0.0,31.9,33.9,94.10029498525073,0.0
60,0.1,0.6,0.0,32.7,33.9,96.46017699115046,0.0
60,0.12,0.6,0.0,33.1,33.9,97.64011799410031,0.0
60,0.14,0.6,0.0,33.4,33.9,98.52507374631269,0.0
